通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
佐依坦 左乙拉西坦片    0.5g*30片,佐依坦 ,0.5g*30片,200  盒  ,国药准字H20143179 ,重庆圣华曦药业股份有限公司 ,广东壹号药业有限公司,有
波立维 硫酸氢氯吡格雷片    75毫克*7片,波立维 ,75毫克*7片,360  盒  ,国药准字J20130083 ,赛诺菲（杭州）制药有限公司 ,重庆亿昊药业有限公司,无
其他 甲钴胺片    0.5mg*20片,其他 ,0.5mg*20片,10  盒  ,国药准字H20060865 ,北京星昊医药股份有限公司 ,广东壹号药业有限公司,无
康恼灵 复方吡拉西坦脑蛋白水解物片    27片,康恼灵 ,27片,400  盒  ,国药准字H21023095 ,辽宁天龙药业有限公司 ,广东壹号药业有限公司,无
瑞美隆 米氮平片    30mg*10片,瑞美隆 ,30mg*10片,540  盒  ,国药准字J20150132 ,杭州默沙东制药有限公司 ,广东壹号药业有限公司,无
百优解 盐酸氟西汀分散片    20mg*28片,百优解 ,20mg*28片,200  盒  ,国药准字J20120001 ,礼来苏州制药有限公司 ,广东壹号药业有限公司,无
舒坦罗 盐酸帕罗西汀片    20mg*12片,舒坦罗 ,20mg*12片,200  盒  ,国药准字H20040533 ,浙江尖峰药业有限公司 ,广东壹号药业有限公司,无
迭力 加巴喷丁胶囊    0.1g*12粒*4板,迭力 ,0.1g*12粒*4板,200  盒  ,国药准字H20040527 ,江苏恩华药业股份有限公司 ,广东壹号药业有限公司,无
开浦兰 左乙拉西坦片    0.5g*30片,开浦兰 ,0.5g*30片,160  盒  ,国药准字J20160085 ,比利时UC Pharma S.A. ,广东壹号药业有限公司,无
维思通 利培酮片    1mg*20片,维思通 ,1mg*20片,360  盒  ,国药准字H20010309 ,西安杨森制药有限公司 ,重庆亿昊药业有限公司,无
维思通 利培酮片    1mg*20片,维思通 ,1mg*20片,360  盒  ,国药准字H20010309 ,西安杨森制药有限公司 ,广东壹号药业有限公司,无
泰舒达 吡贝地尔缓释片    50mg*30片,泰舒达 ,50mg*30片,120  盒  ,国药准字J20140064 进口药品注册证号H20140105 ,施维雅(天津)制药有限公司 ,广东壹号药业有限公司,无
舒健宁 脑栓通胶囊    0.4g*27粒,舒健宁 ,0.4g*27粒,120  盒  ,国药准字Z20040093 ,广东华南药业集团有限公司 ,广东壹号药业有限公司,无
左洛复 盐酸舍曲林片    50mg*14片,左洛复 ,50mg*14片,300  盒  ,国药准字H10980141 ,辉瑞制药有限公司 ,广东壹号药业有限公司,无
宝庆 丙戊酸钠片    0.2g*100片,宝庆 ,0.2g*100片,100  瓶  ,国药准字H43020874 ,湖南省湘中制药有限公司 ,广东壹号药业有限公司,无
律康 枸橼酸坦度螺酮胶囊    5mg*24粒,律康 ,5mg*24粒,180  盒  ,国药准字H20052328 ,四川科瑞德制药有限公司 ,广东壹号药业有限公司,无
渠道黛力新 氟哌噻吨美利曲辛片    20片,黛力新 ,20片,162  盒  ,进口药品注册证号H20130126   H20171104 ,H.Lundbeck A/S ,广东壹号药业有限公司,无
渠道德巴金 丙戊酸钠缓释片(Ⅰ)    500mg*30片,德巴金 ,500mg*30片,240  盒  ,国药准字H20010595 ,赛诺菲 （杭州）制药有限公司 ,广东壹号药业有限公司,无
赛诺菲/波立维 硫酸氢氯吡格雷片    75mg*7片,赛诺菲/波立维 ,75mg*7片,360  盒  ,国药准字J20180029 ,赛诺菲（杭州）制药有限公司 ,广东壹号药业有限公司,无
星佳定 甲钴胺片    0.5mg*40片,星佳定 ,0.5mg*40片,400  盒  ,国药准字H20060865 ,北京星昊医药股份有限公司 ,广东壹号药业有限公司,无
曲莱 奥卡西平片    0.15g*50片,曲莱 ,0.15g*50片,168  盒  ,H20130015 ,"意大利NovartisFarmaS.p.A,. ",广东壹号药业有限公司,无
深圳信立泰/泰嘉 硫酸氢氯吡格雷片    25毫克*20片,深圳信立泰/泰嘉 ,25毫克*20片,160  盒  ,国药准字H20000542 ,深圳信立泰药业股份有限公司 ,广东壹号药业有限公司,无
奥思平 盐酸度洛西汀肠溶片    20mg*20片,奥思平 ,20mg*20片,100  盒  ,国药准字H20061261 ,上海上药中西制药有限公司 ,广东壹号药业有限公司,无
喜太乐 氢溴酸西酞普兰片    20mg*14片,喜太乐 ,20mg*14片,200  盒  ,国药准字H20041200 ,四川科伦药业股份有限公司 ,广东壹号药业有限公司,无
博乐欣 盐酸文拉法辛胶囊    25mg*16粒,博乐欣 ,25mg*16粒,120  盒  ,国药准字H19980051 ,成都康弘药业集团股份有限公司 ,广东壹号药业有限公司,无
奥兰之 奥氮平片    5mg*20片,奥兰之 ,5mg*20片,120  盒  ,H20150141 ,印度瑞迪博士实验室有限公司Dr.Reddy`s Laboratories Limited ,广东壹号药业有限公司,无
弥可保 甲钴胺片    0.5mg*20片  薄膜衣片,弥可保 ,0.5mg*20片  薄膜衣片,280  盒  ,国药准字H20143107 ,卫材（中国）药业有限公司 ,广东壹号药业有限公司,无
泰舒达    吡贝地尔缓释片    50mg*30片,泰舒达 ,50mg*30片,120  盒  ,国药准字J20140064 进口药品注册证号H20140105 ,施维雅(天津)制药有限公司 ,广东壹号药业有限公司,无
开浦兰 左乙拉西坦片    0.25g*30片,开浦兰 ,0.25g*30片,160  盒  ,国药准字J20160087 ,UCB Pharma S.A. ,广东壹号药业有限公司,无
得理多 卡马西平片    200mg*30片,得理多 ,200mg*30片,480  盒  ,国药准字H11022279 ,北京诺华制药有限公司 ,重庆亿昊药业有限公司,无
开浦兰 左乙拉西坦片    0.5g*30片,开浦兰 ,0.5g*30片,160  盒  ,国药准字J20160085 ,优时比（珠海）制药有限公司 ,广东壹号药业有限公司,无
迭力 加巴喷丁胶囊    0.3g*24粒,迭力 ,0.3g*24粒,200  盒  ,国药准字H20051068 ,江苏恩华药业股份有限公司 ,广东壹号药业有限公司,无
深圳信立泰/泰嘉  硫酸氢氯吡格雷片     25mg*20片,深圳信立泰/泰嘉 , 25mg*20片,160  盒  ,国药准字H20000542 ,深圳信立泰药业股份有限公司 ,广东壹号药业有限公司,有
得理多 卡马西平片    200mg*30片,得理多 ,200mg*30片,480  盒  ,国药准字H11022279 ,北京诺华制药有限公司 ,广东壹号药业有限公司,无
得理多 卡马西平片    200mg*30片,得理多 ,200mg*30片,480  盒  ,国药准字H11022279 ,北京诺华制药有限公司 ,广东壹号药业有限公司,无
利必通 拉莫三嗪片    50mg*30片/盒,利必通 ,50mg*30片/盒,72  盒  ,H20160513 ,GlaxoSmithKline Pharmaceuticals S.A. ,广东壹号药业有限公司,无
博乐欣 盐酸文拉法辛缓释片    75mg*14片,博乐欣 ,75mg*14片,120  盒  ,国药准字H20070269 ,成都康弘药业集团股份有限公司 ,广东壹号药业有限公司,无
波立维 硫酸氢氯吡格雷片    75毫克*7片,波立维 ,75毫克*7片,360  盒  ,国药准字J20130083 ,赛诺菲（杭州）制药有限公司 ,广东壹号药业有限公司,无
派汀 加巴喷丁胶囊    0.1g*10粒*5板,派汀 ,0.1g*10粒*5板,100  盒  ,国药准字H20030662 ,江苏恒瑞医药股份有限公司 ,广东壹号药业有限公司,无
致康 痫愈胶囊    0.4g*45粒,致康 ,0.4g*45粒,300  盒  ,国药准字Z20025728 ,西安千禾药业有限责任公司 ,广东壹号药业有限公司,无
弥可保 甲钴胺片    0.5mg*20片  薄膜衣片,弥可保 ,0.5mg*20片  薄膜衣片,280  盒  ,国药准字H20143107 ,卫材（中国）药业有限公司 ,重庆亿昊药业有限公司,无
安理申 盐酸多奈哌齐片    5mg*7片,安理申 ,5mg*7片,240  盒  ,国药准字H20050978 ,卫材(中国)药业有限公司 ,广东壹号药业有限公司,无
深圳信立泰/泰嘉 硫酸氢氯吡格雷片    25毫克*20片,深圳信立泰/泰嘉 ,25毫克*20片,160  盒  ,国药准字H20000542 ,深圳信立泰药业股份有限公司 ,重庆亿昊药业有限公司,无
怡诺思 盐酸文拉法辛缓释胶囊    75mg*14粒,怡诺思 ,75mg*14粒,240  盒  ,国药准字J20120038 ,惠氏制药有限公司 ,广东壹号药业有限公司,无
宝庆 丙戊酸钠片    0.2g*100s,宝庆 ,0.2g*100s,100  瓶  ,国药准字H43020874 ,湖南省湘中制药有限公司 ,广东壹号药业有限公司,无
开浦兰 左乙拉西坦片    0.5g*30片,开浦兰 ,0.5g*30片,160  盒  ,国药准字J20160085 ,比利时UC Pharma S.A. ,重庆亿昊药业有限公司,无
安理申 盐酸多奈哌齐片    5mg*7片,安理申 ,5mg*7片,240  盒  ,国药准字H20050978 ,卫材(中国)药业有限公司 ,广东壹号药业有限公司,无
深圳信立泰/泰嘉 硫酸氢氯吡格雷片    25毫克*20片,深圳信立泰/泰嘉 ,25毫克*20片,160  盒  ,国药准字H20000542 ,深圳信立泰药业股份有限公司 ,重庆亿昊药业有限公司,无
乐盼 氟哌噻吨美利曲辛片    7片*2板,乐盼 ,7片*2板,300  盒  ,国药准字H20153014 ,四川海思科制药有限公司 ,广东壹号药业有限公司,无
再普乐 奥氮平片    5mg*28片,再普乐 ,5mg*28片,108  盒  ,进口药品注册证号：H20160497 ,"Lilly S.A.,西班牙 ",广东壹号药业有限公司,无
怡诺思 盐酸文拉法辛缓释胶囊    75mg*14粒,怡诺思 ,75mg*14粒,240  盒  ,国药准字J20120038 ,惠氏制药有限公司 ,广东壹号药业有限公司,无
弥可保 甲钴胺片    0.5mg*20片  薄膜衣片,弥可保 ,0.5mg*20片  薄膜衣片,280  盒  ,国药准字H20143107 ,卫材（中国）药业有限公司 ,重庆亿昊药业有限公司,无
启维 富马酸喹硫平片    100mg*30片,启维 ,100mg*30片,200  盒  ,国药准字H20010117 ,湖南洞庭药业股份有限公司 ,广东壹号药业有限公司,无
佰莫亭 甲磺酸溴隐亭片    2.5mg*30片,佰莫亭 ,2.5mg*30片,189  瓶  ,新注册证号H20160170（原注册证号H20110116) ,匈牙利吉瑞大药厂 ,广东壹号药业有限公司,无
敏使朗  甲磺酸倍他司汀片    6mg*30片,敏使朗 ,6mg*30片,400  盒  ,国药准字H20040130 ,卫材(中国)药业有限公司 ,广东壹号药业有限公司,无
悦亭 盐酸安非他酮缓释片    0.15g*14片,悦亭 ,0.15g*14片,200  盒  ,国药准字H20055847 ,万特制药（海南）有限公司 ,广东壹号药业有限公司,无
来士普 草酸艾司西酞普兰片    10mg*7片,来士普 ,10mg*7片,240  盒  ,国药准字J20100165 ,西安杨森制药有限公司 ,广东壹号药业有限公司,无
希德 枸橼酸坦度螺酮片    10mg*42片,希德 ,10mg*42片,200  盒  ,国药准字J20100148 ,住友制药（苏州）有限公司 ,广东壹号药业有限公司,无
妥泰 托吡酯片    25mg*60片,妥泰 ,25mg*60片,120  盒  ,国药准字H20020555 ,西安杨森制药有限公司 ,广东壹号药业有限公司,无
开浦兰 左乙拉西坦口服溶液    150ml:15g,开浦兰 ,150ml:15g,48  瓶  ,国药准字J20160060 ,NextPharma SAS ,广东壹号药业有限公司,无
思瑞康 富马酸喹硫平片    25mg*20片,思瑞康 ,25mg*20片,84  盒  ,H20130035 ,AstraZeneca UK Limited ,广东壹号药业有限公司,无
安律凡 阿立哌唑片    5mg*10片,安律凡 ,5mg*10片,200  盒  ,国药准字H20061304 ,浙江大冢制药有限公司 ,广东壹号药业有限公司,无
博思清 阿立哌唑口腔崩解片    5mg*10片*2板,博思清 ,5mg*10片*2板,120  盒  ,国药准字H20060521 ,成都康弘药业集团股份有限公司 ,广东壹号药业有限公司,无
彼迈乐 盐酸舍曲林片    50mg*14片,彼迈乐 ,50mg*14片,200  盒  ,国药准字H20060686 ,广东彼迪药业有限公司 ,广东壹号药业有限公司,无
云昆 癫痫宁片    1.62g*48片,云昆 ,1.62g*48片,200  盒  ,国药准字Z53020771 ,昆明中药厂有限公司 ,广东壹号药业有限公司,无
光辉 奋乃静片    2mg*100片,光辉 ,2mg*100片,240  盒  ,国药准字H31021083 ,上海朝晖药业有限公司 ,广东壹号药业有限公司,无
乐孚亭 盐酸安非他酮片    75mg*14s,乐孚亭 ,75mg*14s,400  盒  ,国药准字H20070209 ,万特制药（海南）有限公司 ,重庆亿昊药业有限公司,无
百优解 百优解 盐酸氟西汀胶囊    20mg*28粒,百优解 ,20mg*28粒,200  盒  ,国药准字J20170022 ,礼来苏州制药有限公司 ,广东壹号药业有限公司,无
森福罗 盐酸普拉克索片    0.25mg*10片*3板,森福罗 ,0.25mg*10片*3板,144  盒  ,H20110069 ,Boehringer Ingelheim Pharma GmbH & Co. KG ,广东壹号药业有限公司,无
金思平 盐酸司来吉兰片    5mg*10片,金思平 ,5mg*10片,200  盒  ,国药准字H20133055 ,山东绿叶制药有限公司 ,广东壹号药业有限公司,无
恩华 盐酸氯米帕明片    25mg*50片,恩华 ,25mg*50片,100  盒  ,国药准字H32022974 ,江苏恩华药业股份有限公司 ,广东壹号药业有限公司,无
宝庆 丙戊酰胺片    0.2g*60片,宝庆 ,0.2g*60片,100  盒  ,国药准字H43021875 ,湖南省湘中制药有限公司 ,广东壹号药业有限公司,无
曲莱   奥卡西平片    0.3g*50片,曲莱 ,0.3g*50片,70  盒  ,进口药品注册证号：H20171032 ,"Novartis Farma.S.p.A,Italy ",重庆亿昊药业有限公司,无
双湖 盐酸苯海索片    2mg*100片,双湖 ,2mg*100片,600  瓶  ,国药准字H32022135 ,常州康普药业有限公司 ,广东壹号药业有限公司,无
奇比特 盐酸丁螺环酮片    5mg*40片,奇比特 ,5mg*40片,400  盒  ,国药准字H19990302 ,北大国际医院集团西南合成制药股份有限公司 ,广东壹号药业有限公司,无
欣百达 盐酸度洛西汀肠溶胶囊    60mg*14粒,欣百达 ,60mg*14粒,56  盒  ,H20150287 ,"Lilly del Caribe,Inc. ",广东壹号药业有限公司,无
力如太 利鲁唑片    50mg*56片,力如太 ,50mg*56片,100  盒  ,国药准字J20140092 ,赛诺菲（北京）制药有限公司 ,广东壹号药业有限公司,无
思博海 盐酸多奈哌齐片    5mg*7片,思博海 ,5mg*7片,80  盒  ,国药准字H20010723 ,重庆植恩药业有限公司 ,广东壹号药业有限公司,无
再普乐 奥氮平片    10mg*7片,再普乐 ,10mg*7片,144  盒  ,H20160297 ,"Lilly,S.A. ",广东壹号药业有限公司,无
再普乐 奥氮平口崩片    5mg*7片,再普乐 ,5mg*7片,120  盒  ,H20140605 ,"Lilly,S.A. ",广东壹号药业有限公司,无
乐元 盐酸舍曲林片    50mg*28片,乐元 ,50mg*28片,200  盒  ,国药准字H20080141 ,浙江华海药业股份有限公司 ,广东壹号药业有限公司,无
治闲灵 复方苯巴比妥溴化钠片    12片*3盒,治闲灵 ,12片*3盒,100  盒  ,国药准字H22025189 ,吉林省中研药业有限公司 ,广东壹号药业有限公司,无
思利舒 利培酮片    1mg*40片,思利舒 ,1mg*40片,360  盒  ,国药准字H20050160 ,江苏恩华药业集团有限公司 ,广东壹号药业有限公司,无
舒思 富马酸喹硫平片    0.1g*30片,舒思 ,0.1g*30片,200  盒  ,国药准字H20030742 ,苏州第一制药有限公司 ,广东壹号药业有限公司,无
阿瑞斯  盐酸多奈哌齐片    5mg*7片 (薄膜衣片) ,阿瑞斯 ,5mg*7片 (薄膜衣片) ,200  盒  ,国药准字H20030583 ,陕西方舟制药有限公司 ,广东壹号药业有限公司,无
神济 醒脑再造胶囊    0.35g*30粒,神济 ,0.35g*30粒,300  盒  ,国药准字Z13020394 ,中美华医(河北)制药有限公司 ,广东壹号药业有限公司,无
阜药 清心沉香八味丸    7.5g*2瓶,阜药 ,7.5g*2瓶,200  盒  ,国药准字Z21020275 ,阜新蒙药有限责任公司 ,广东壹号药业有限公司,无
康尔汀 盐酸哌罗匹隆片    4mg*30片,康尔汀 ,4mg*30片,200  盒  ,国药准字H20080217 ,丽珠集团丽珠制药厂 ,广东壹号药业有限公司,无
汝立康 偏瘫复原丸    4.5g*14袋,汝立康 ,4.5g*14袋,300  盒  ,国药准字Z20054270 ,吉林省俊宏药业有限公司 ,广东壹号药业有限公司,无
云昆 癫痫宁片    1.62g*48片*3小盒,云昆 ,1.62g*48片*3小盒,60  盒  ,国药准字Z53020771 ,昆明中药厂有限公司 ,广东壹号药业有限公司,无
德源 甲钴胺胶囊    0.5mg*30粒,德源 ,0.5mg*30粒,200  盒  ,国药准字H20080478 ,江苏德源药业股份有限公司 ,广东壹号药业有限公司,无
本草纲目 夜宁颗粒    20g*10袋,本草纲目 ,20g*10袋,200  盒  ,国药准字Z42021245 ,李时珍医药集团有限公司 ,广东壹号药业有限公司,无
东药 丙戊酸钠片    0.2g*100片,东药 ,0.2g*100片,200  盒  ,国药准字H37022627 ,山东方明药业集团股份有限公司 ,广东壹号药业有限公司,无
世康特 全天麻胶囊    24粒,世康特 ,24粒,10  盒  ,国药准字Z20003249 ,上海世康特制药有限公司 ,广东壹号药业有限公司,无
宝庆 碳酸锂片    0.25g*100片,宝庆 ,0.25g*100片,200  盒  ,国药准字H43020759 ,湖南省湘中制药有限公司 ,广东壹号药业有限公司,无
博迪同 甲钴胺片    0.5mg*20片,博迪同 ,0.5mg*20片,240  盒  ,国药准字H20041642 ,南京瑞尔医药有限公司 ,广东壹号药业有限公司,无
其他 甲钴胺片    0.5mg*20片,其他 ,0.5mg*20片,100  盒  ,国药准字H20050168 ,石药集团欧意药业有限公司 ,广东壹号药业有限公司,无
康德 百宁神口服液    10ml*12支,康德 ,10ml*12支,12  盒  ,国药准字B20020278 ,浙江康德药业集团股份有限公司 ,广东壹号药业有限公司,无
聚立能 盐酸氟西汀胶囊    20mg*14粒,聚立能 ,20mg*14粒,240  盒  ,国药准字H20064844 ,苏州中化药品工业有限公司 ,广东壹号药业有限公司,无
其他 奋乃静片    100片,其他 ,100片,100  盒  ,国药准字H32024193 ,江苏黄河药业股份有限公司 ,广东壹号药业有限公司,无
兆敏欣 甲钴胺片    0.5mg*24片,兆敏欣 ,0.5mg*24片,10  盒  ,国药准字H20051440 ,江西青峰药业有限公司 ,广东壹号药业有限公司,无
森福罗 盐酸普拉克索片    1mg*10片*3板,森福罗 ,1mg*10片*3板,144  盒  ,H20110070 ,"德国Dr.GerhardMann,Chem.-pharm.FabrikGmbH ",广东壹号药业有限公司,无
左洛复 盐酸舍曲林片    50mg*14粒,左洛复 ,50mg*14粒,300  盒  ,国药准字H10980141 ,辉瑞制药有限公司 ,重庆亿昊药业有限公司,无
中南 氯氮平片    25mg*100片,中南 ,25mg*100片,10  盒  ,国药准字H43021058 ,湖南中南制药有限责任公司 ,广东壹号药业有限公司,无
云鹏 苯妥英钠片    50mg*100s,云鹏 ,50mg*100s,10  盒  ,国药准字H14023944 ,山西云鹏制药有限公司 ,广东壹号药业有限公司,无
妥泰  托吡酯片    25mg*60片,妥泰 ,25mg*60片,120  盒  ,国药准字H20020555 ,西安杨森制药有限公司 ,广东壹号药业有限公司,无
同仁堂 偏瘫复原丸    9g*10丸,同仁堂 ,9g*10丸,50  盒  ,国药准字Z11020111 ,北京同仁堂股份有限公司同仁堂制药厂 ,重庆亿昊药业有限公司,无
索乐芬 利培酮分散片    1mg*30片,索乐芬 ,1mg*30片,200  盒  ,国药准字H20130050 ,浙江华海药业股份有限公司 ,广东壹号药业有限公司,无
宝庆 丙戊酸钠片    0.2g*100s,宝庆 ,0.2g*100s,100  瓶  ,国药准字H43020874 ,湖南省湘中制药有限公司 ,重庆亿昊药业有限公司,无
华山药业 甲钴胺胶囊    0.5mg*30粒,华山药业 ,0.5mg*30粒,10  盒  ,国药准字H20070103 ,南通华山药业有限公司 ,广东壹号药业有限公司,无
双益平 石杉碱甲片    50ug*40片,双益平 ,50ug*40片,200  盒  ,国药准字H10960133 ,上海复旦复华药业有限公司 ,广东壹号药业有限公司,无
黛力新 氟哌噻吨美利曲辛片    20S,黛力新 ,20S,162  盒  ,进口药品注册证号H20171104 ,H.Lundbeck A/S ,广东壹号药业有限公司,无
艾斯能 重酒石酸卡巴拉汀胶囊    3mg*28粒,艾斯能 ,3mg*28粒,100  盒  ,进口药品注册证H20150650 ,Novartis Farmaceutica S.A.Spain ,广东壹号药业有限公司,无
兰释 马来酸氟伏沙明片    50mg*30片/盒,兰释 ,50mg*30片/盒,100  盒  ,H20160193（注册证号H20140519） ,Mylan Laboratories SAS ,广东壹号药业有限公司,无
渠道德巴金 丙戊酸钠口服溶液    300ml:12g,德巴金 ,300ml:12g,12  瓶  ,国药准字H20041435 ,赛诺菲 （杭州）制药有限公司 ,广东壹号药业有限公司,无
圣美弗 氟哌噻吨美利曲辛片    20片,圣美弗 ,20片,200  盒  ,国药准字H20153122 ,重庆圣华曦药业股份有限公司 ,广东壹号药业有限公司,无
湖南洞庭 盐酸氯米帕明片    25mg*50片,湖南洞庭 ,25mg*50片,200  盒  ,国药准字H10900027 ,湖南洞庭药业股份有限公司 ,广东壹号药业有限公司,无
渠道百适可 草酸艾司西酞普兰片    10mg*7片,百适可 ,10mg*7片,240  盒  ,国药准字H20103327 ,山东京卫制药有限公司 ,广东壹号药业有限公司,无
喜普妙 氢溴酸西酞普兰片    20mg*14片(薄膜衣),喜普妙 ,20mg*14片(薄膜衣),360  盒  ,国药准字J20130028 ,西安杨森制药有限公司 ,广东壹号药业有限公司,无
悉敏 奥氮平片    5mg*28片,悉敏 ,5mg*28片,100  盒  ,国药准字H20030512 ,常州华生制药有限公司 ,广东壹号药业有限公司,无
每素玉 盐酸曲唑酮片    50mg*20片,每素玉 ,50mg*20片,100  盒  ,国药准字H20020355 ,常州华生制药有限公司 ,广东壹号药业有限公司,无
君碧莎 桂芍镇痫片    0.35g*18片*2板*3小盒,君碧莎 ,0.35g*18片*2板*3小盒,100  盒  ,国药准字Z20083016 ,陕西君碧莎制药有限公司 ,广东壹号药业有限公司,无
博可保 甲钴胺片    0.5mg*24片,博可保 ,0.5mg*24片,400  盒  ,国药准字H20050997 ,海南斯达制药有限公司 ,广东壹号药业有限公司,无
多氟 氢溴酸西酞普兰胶囊    20mg*14粒,多氟 ,20mg*14粒,200  盒  ,国药准字H20051397 ,四川科伦药业股份有限公司 ,广东壹号药业有限公司,无
奥派 阿立哌唑片    5mg*14片,奥派 ,5mg*14片,200  盒  ,国药准字H20041506 ,上海上药中西制药有限公司 ,广东壹号药业有限公司,无
奥思平 盐酸度洛西汀肠溶胶囊    20mg*20粒,奥思平 ,20mg*20粒,200  盒  ,国药准字H20061263 ,上海上药中西制药有限公司 ,广东壹号药业有限公司,无
中方 清脑复神液    10ml*6支,中方 ,10ml*6支,100  盒  ,国药准字Z51020737 ,四川中方制药有限公司 ,广东壹号药业有限公司,无
卓乐定 盐酸齐拉西酮胶囊    40mg*10粒,卓乐定 ,40mg*10粒,208  盒  ,H20110461 ,Pfizer Australia Pty Limited ,广东壹号药业有限公司,无
爱柯保 甲钴胺片    0.5mg*20片,爱柯保 ,0.5mg*20片,400  盒  ,国药准字H20051410 ,江苏四环生物制药有限公司 ,广东壹号药业有限公司,无
达灵复 恩他卡朋双多巴片(II)    100mg:25mg:200mg*30片,达灵复 ,100mg:25mg:200mg*30片,90  盒  ,H20171148 ,芬兰Orion Corporation ,广东壹号药业有限公司,无
思利舒 利培酮片    1mg*20片,思利舒 ,1mg*20片,360  盒  ,国药准字H20050160 ,江苏恩华药业股份有限公司 ,广东壹号药业有限公司,无
达仁堂 天王补心丸    9g*10丸,达仁堂 ,9g*10丸,100  盒  ,国药准字Z12020115 ,天津中新药业集团股份有限公司达仁堂制药厂 ,广东壹号药业有限公司,无
一舒 盐酸丁螺环酮片    5mg*24片,一舒 ,5mg*24片,200  盒  ,国药准字H19991024 ,江苏恩华药业股份有限公司 ,广东壹号药业有限公司,无
单克 利培酮片    2mg*20片,单克 ,2mg*20片,400  盒  ,国药准字H20051731 ,常州四药制药有限公司 ,广东壹号药业有限公司,无
希尔安 血府逐瘀片    0.45g*36片,希尔安 ,0.45g*36片,10  盒  ,国药准字Z20060124 ,重庆希尔安药业有限公司 ,广东壹号药业有限公司,无
喜复至 丙戊酸钠缓释片    0.5g*30片,喜复至 ,0.5g*30片,360  盒  ,HC20120017 ,信东生技股份有限公司 ,广东壹号药业有限公司,无
济宇 盐酸多奈哌齐分散片    5mg*12片,济宇 ,5mg*12片,100  盒  ,国药准字H20080381 ,山东罗欣药业集团股份有限公司 ,广东壹号药业有限公司,无
其他 氯氮平片    25mg*100片,其他 ,25mg*100片,100  盒  ,国药准字H44021425 ,广州彼迪药业有限公司 ,广东壹号药业有限公司,无
泰舒达    吡贝地尔缓释片    50mg*30片,泰舒达 ,50mg*30片,120  盒  ,国药准字J20140064 进口药品注册证号H20140105 ,施维雅(天津)制药有限公司 ,重庆亿昊药业有限公司,无
佰莫亭 甲磺酸溴隐亭片    2.5mg*30片,佰莫亭 ,2.5mg*30片,189  瓶  ,新注册证号H20160170（原注册证号H20110116) ,匈牙利吉瑞大药厂 ,重庆亿昊药业有限公司,无
再普乐 奥氮平片    5mg*28片,再普乐 ,5mg*28片,108  盒  ,进口药品注册证号：H20160497 ,"Lilly S.A.,西班牙 ",广东壹号药业有限公司,无
