通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
氧益源 颈肩一号理疗仪 氧益源 颈肩一号理疗仪    1台/盒,氧益源 颈肩一号理疗仪 ,1台/盒,1  盒  ,GB4706.1-2005;GB4706.10-2008 ,珠海市康葆圣电子有限公司 ,佛山健多多医疗器械有限公司,有
吸氧管 鼻氧管 松田 吸氧管 鼻氧管 松田    1条/包,吸氧管 鼻氧管 松田 ,1条/包,1  包  ,苏食药监生产许20040114号 ,扬州市松田医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 硅胶牙刷 孕妇产妇专用 健之佳 硅胶牙刷 孕妇产妇专用    1支,健之佳 硅胶牙刷 孕妇产妇专用 ,1支,1  盒  ,GB19342-2003 ,Laboratoire GlaxoSmithKline ,佛山健多多医疗器械有限公司,有
健之佳 孕产妇牙刷 牙膏 舌苔清洁器 三件套 健之佳 孕产妇牙刷 牙膏 舌苔清洁器 三件套    300支/瓶,健之佳 孕产妇牙刷 牙膏 舌苔清洁器 三件套 ,300支/瓶,1  盒  ,787878 ,广州市邦善医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 孕妇牙膏 维C干刷牙膏 健之佳 孕妇牙膏 维C干刷牙膏    97g,健之佳 孕妇牙膏 维C干刷牙膏 ,97g,1  盒  ,XK16-1087579 ,广东喜派日化有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 假牙清洁片 片剂 健之佳 假牙清洁片 片剂    24片,健之佳 假牙清洁片 片剂 ,24片,1  盒  ,Q/1001WJR002 ,威海洁仕日用品有限公司 ,佛山健多多医疗器械有限公司,有
健之佳自粘性硅凝胶片 持久耐用 滋润皮肤 淡化细纹 健之佳自粘性硅凝胶片 持久耐用 滋润皮肤 淡化细纹    1片/盒,健之佳自粘性硅凝胶片 持久耐用 滋润皮肤 淡化细纹 ,1片/盒,1  盒  ,QB/T2872-2007 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
健之佳艾咪手动实感吸奶器 硅胶挤奶器 健之佳艾咪手动实感吸奶器 硅胶挤奶器    一个/盒,健之佳艾咪手动实感吸奶器 硅胶挤奶器 ,一个/盒,1  盒  ,4575454 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
欧纯 宝宝防蚊液喷剂 欧纯 宝宝防蚊液喷剂    60ml/瓶,欧纯 宝宝防蚊液喷剂 ,60ml/瓶,1  盒  ,Q/JHX001-2014 ,青岛千江生物工程有限公司 ,佛山健多多医疗器械有限公司,有
欧纯电热蚊香液  欧纯电热蚊香液     1器+2液/盒,欧纯电热蚊香液  ,1器+2液/盒,1  盒  ,Q/371502LSH004-2016 ,青岛千江生物工程有限公司 ,佛山健多多医疗器械有限公司,有
欧纯电热蚊香液 45ml 欧纯电热蚊香液 45ml    45ml/瓶,欧纯电热蚊香液 45ml ,45ml/瓶,1  盒  ,Q/371502LSH004-2016 ,青岛千江生物工程有限公司 ,佛山健多多医疗器械有限公司,有
鱼跃多功能听诊器 鱼跃多功能听诊器    1台/盒,鱼跃多功能听诊器 ,1台/盒,1  盒  ,苏镇食药监生产备20151006号 ,江苏鱼跃医疗设备股份有限公司 ,佛山健多多医疗器械有限公司,有
鱼跃多功能手杖YU870 鱼跃多功能手杖YU870    1根/盒,鱼跃多功能手杖YU870 ,1根/盒,1  盒  ,GZQH20160928117 ,江苏鱼跃医疗设备股份有限公司 ,佛山健多多医疗器械有限公司,有
陈艾柱 陈艾柱    54壮/盒,陈艾柱 ,54壮/盒,1  个  ,Q/0285ENW003-2017 ,青岛海氏海诺恩诺威健康科技有限公司 ,佛山健多多医疗器械有限公司,有
消毒液老人护理型柑橘味 消毒液老人护理型柑橘味    200ml/瓶,消毒液老人护理型柑橘味 ,200ml/瓶,1  瓶  ,GB26367-2010GB27951-2011GB27952-2011 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
消毒液居住环境专用型无味 消毒液居住环境专用型无味    250ml/瓶,消毒液居住环境专用型无味 ,250ml/瓶,1  瓶  ,GB26367-2010GB27951-2011GB27952-2011 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
消毒液居住环境专用型柑橘味 消毒液居住环境专用型柑橘味    250ml/瓶,消毒液居住环境专用型柑橘味 ,250ml/瓶,1  瓶  ,GB26367-2010GB27951-2011GB27952-2011 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
5赫兹牌消毒液商务携带型玫瑰 5赫兹牌消毒液商务携带型玫瑰    40ml/瓶,5赫兹牌消毒液商务携带型玫瑰 ,40ml/瓶,1  瓶  ,GB26367-2010GB27951-2011GB27952-2011 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
5赫兹牌消毒液女性护理型柑橘 5赫兹牌消毒液女性护理型柑橘    200ml/瓶,5赫兹牌消毒液女性护理型柑橘 ,200ml/瓶,1  瓶  ,GB26367-2010GB27951-2011GB27952-2011 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
5赫兹牌消毒液女性护理型青苹果 5赫兹牌消毒液女性护理型青苹果    200ml/瓶,5赫兹牌消毒液女性护理型青苹果 ,200ml/瓶,1  瓶  ,GB26367-2010GB27951-2011GB27952-2011 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
5赫兹牌消毒液女性护理型薰衣草 5赫兹牌消毒液女性护理型薰衣草    200ml/瓶,5赫兹牌消毒液女性护理型薰衣草 ,200ml/瓶,1  瓶  ,GB26367-2010GB27951-2011GB27952-2011 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
 【佛山东方】座便椅FS899A    1张/盒, ,1张/盒,1  盒  ,GB/T24434-2009 ,佛山市东方医疗设备厂 ,佛山健多多医疗器械有限公司,有
 豪邦医用固定带护腰带 腰托 HB-B03 S码    1条/盒, ,1条/盒,1  盒  ,YXB/冀衡0006-2014 ,衡水豪邦医疗器械厂 ,佛山健多多医疗器械有限公司,有
 豪邦医用固定带 HB-B01 S码    1条/盒, ,1条/盒,1  盒  ,YXB/冀衡0006-2014 ,衡水豪邦医疗器械厂 ,佛山健多多医疗器械有限公司,有
 豪邦医用固定带 HB-B01M码    1条/盒, ,1条/盒,1  盒  ,YXB/冀衡0006-2014 ,衡水豪邦医疗器械厂 ,佛山健多多医疗器械有限公司,有
 豪邦医用固定带 HB-B01 L码    1条/盒, ,1条/盒,1  盒  ,YXB/冀衡0006-2014 ,衡水豪邦医疗器械厂 ,佛山健多多医疗器械有限公司,有
 豪邦医用固定带 HB-B01 XL码    1条/盒, ,1条/盒,1  盒  ,YXB/冀衡0006-2014 ,衡水豪邦医疗器械厂 ,佛山健多多医疗器械有限公司,有
 豪邦医用固定带 HB-B01 XXL码    1条/盒, ,1条/盒,1  盒  ,YXB/冀衡0006-2014 ,衡水豪邦医疗器械厂 ,佛山健多多医疗器械有限公司,有
 豪邦颈椎牵引固定器A04 XXL码    1条/盒, ,1条/盒,1  盒  ,YXB/冀 衡0006-2014 ,衡水豪邦医疗器械厂 ,佛山健多多医疗器械有限公司,有
 豪邦颈椎牵引固定器A02型 S码    1条/盒, ,1条/盒,1  盒  ,YXB/冀衡 0006-2014 ,衡水豪邦医疗器械厂 ,佛山健多多医疗器械有限公司,有
 豪邦颈椎牵引固定器A02型 L码    1条/盒, ,1条/盒,1  盒  ,YXB/冀衡 0006-2015 ,衡水豪邦医疗器械厂 ,佛山健多多医疗器械有限公司,有
 豪邦颈椎牵引固定器A02型 XXL码    1条/盒, ,1条/盒,1  盒  ,YXB/冀衡 0006-2016 ,衡水豪邦医疗器械厂 ,佛山健多多医疗器械有限公司,有
 吴博士RG-XGBII膝盖照射按摩仪    1台/盒, ,1台/盒,1  盒  ,RG-XGBII ,深圳瑞光康泰科技有限公司 ,佛山健多多医疗器械有限公司,有
 佛山东方拐杖FS914L助行器     1张/盒, ,1张/盒,1  个  ,GB/T 19545.2-2009 ,佛山市东方医疗设备厂 ,佛山健多多医疗器械有限公司,有
 沐光盒式助听器VHP-800大功率老人耳聋耳背听力下降充电助听机    1台/盒, ,1台/盒,1  盒  ,YZB/粤 0645-2013 ,佛山市华弘科技有限公司 ,佛山健多多医疗器械有限公司,有
 豪邦医用（腰椎）牵引架 HB-F02    1台/盒, ,1台/盒,1  盒  ,YZB/冀衡0007-2010 ,冀州市豪邦医疗器械厂 ,佛山健多多医疗器械有限公司,有
 鱼跃电子额温枪 YHT102    1支/盒, ,1支/盒,1  盒  ,YZB/苏0218-2010 ,江苏鱼跃医疗设备股份有限公司 ,佛山健多多医疗器械有限公司,有
蜜炼罗汉果清润糖 蜜炼罗汉果清润糖    36克,蜜炼罗汉果清润糖 ,36克,1  盒  ,SC11333100300034 ,台州市黄岩仁御生物科技有限公司 ,惠州市利佳康园医药科技有限公司,有
蜜炼金银花清润糖 蜜炼金银花清润糖    36克,蜜炼金银花清润糖 ,36克,1  盒  ,SC11333100300034 ,台州市黄岩仁御生物科技有限公司 ,惠州市利佳康园医药科技有限公司,有
养润濞疾康抑菌喷剂 养润濞疾康抑菌喷剂    20ml,养润濞疾康抑菌喷剂 ,20ml,1  支  ,陕西卫消证字（2014）第0187号 ,陕西健驰生物药业有限公司 ,惠州市信合惠通实业有限公司,有
儿童钙铁锌蛋白质粉 儿童钙铁锌蛋白质粉    900克,儿童钙铁锌蛋白质粉 ,900克,1  盒  ,SC10644051100212 ,广东益瑞生物科技有限公司 ,惠州市信合惠通实业有限公司,有
富硒蛋白质粉 富硒蛋白质粉    900克,富硒蛋白质粉 ,900克,1  盒  ,SC10644051100212 ,广东益瑞生物科技有限公司 ,惠州市信合惠通实业有限公司,有
蜜炼胖大海清润糖 蜜炼胖大海清润糖    36克,蜜炼胖大海清润糖 ,36克,240  盒  ,SC11333100300034 ,台州市黄岩仁御生物科技有限公司 ,惠州市信合惠通实业有限公司,有
 鱼跃电子额温枪 YHT102    1支/盒, ,1支/盒,1  盒  ,YZB/苏0218-2010 ,江苏鱼跃医疗设备股份有限公司 ,广州骉骉医疗器械科技有限公司,有
 欧姆龙医用电子血压计HBP-1300    1台/盒, ,1台/盒,1  台  ,辽食药监生产许20150061号 ,欧姆龙(大连)有限公司 ,广州骉骉医疗器械科技有限公司,有
 棉花朵朵 医用棉球    25g/袋, ,25g/袋,1  盒  ,鲁青食药监械（准）字2014第1640013号 ,青岛盛久医疗用品有限公司 ,中山市胜美保健食品有限公司,有
G棉花朵朵 医用棉球（精装） G棉花朵朵 医用棉球（精装）    25g/袋,G棉花朵朵 医用棉球（精装） ,25g/袋,1  盒  ,鲁青食药监械（准）字2014第1640013号 ,青岛盛久医疗用品有限公司 ,中山市胜美保健食品有限公司,有
 棉花朵朵 医用纱布块（5片）    7.5cm*7.5cm, ,7.5cm*7.5cm,1  盒  ,鲁械注准20152640384 ,青岛盛久医疗用品有限公司 ,中山市胜美保健食品有限公司,有
帮德007天然胶乳橡胶避孕套（时尚颗粒）草莓香 帮德007天然胶乳橡胶避孕套（时尚颗粒）草莓香    10只,帮德007天然胶乳橡胶避孕套（时尚颗粒）草莓香 ,10只,1  盒  ,计生用品 ,湛江市汇通药业有限公司 ,中山市胜美保健食品有限公司,有
I杜蕾斯润滑油（激情热感） I杜蕾斯润滑油（激情热感）    50ml,I杜蕾斯润滑油（激情热感） ,50ml,1  瓶  , ,青岛伦敦杜蕾斯有限公司 ,佛山健多多医疗器械有限公司,有
 京都血糖仪GT-1970    1台/盒, ,1台/盒,1  盒  ,京都血糖仪GT-1970 ,日本爱科来株式会社 ,佛山健多多医疗器械有限公司,有
 HG润滑剂    120ml/瓶, ,120ml/瓶,1  盒  ,Q/CZS001-2015 ,东莞市淳臻生物科技有限公司 ,佛山健多多医疗器械有限公司,有
 军之贡正品足部瘦身贴排毒足贴盒    1贴/盒, ,1贴/盒,1  盒  ,FHS2016062931 ,南阳市久康医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 欧纯简单吸奶器    1支/盒, ,1支/盒,1  盒  ,QB/KMN140501-2014 ,青岛科美生物工程有限公司 ,佛山健多多医疗器械有限公司,有
 华士康超声雾化器    1条/袋, ,1条/袋,1  盒  ,GZQH20160928066 ,广东粤华医疗器械厂有限公司 ,佛山健多多医疗器械有限公司,有
 利尔康75%酒精消毒液    100ml/瓶, ,100ml/瓶,1  盒  ,赣卫消证字（2010）第0033号 ,山东利尔康消毒科技有限公司江西分公司 ,佛山健多多医疗器械有限公司,有
源益源颈椎按摩枕YL-001 源益源颈椎按摩枕YL-001    1台/盒,源益源颈椎按摩枕YL-001 ,1台/盒,1  盒  ,GB4706.1-2005;GB4706.10-2008 ,珠海市康葆圣电子有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 高拉力牙线签 健之佳 高拉力牙线签    50支 独立装,健之佳 高拉力牙线签 ,50支 独立装,1  盒  ,Q/1001WJR001 ,威海洁仕日用品有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 水刺无纺布内裤 健之佳 水刺无纺布内裤    4个/包,健之佳 水刺无纺布内裤 ,4个/包,1  包  ,鲁(2012)第0040号 ,广州市春鹏贸易有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 按压式吸奶器 健之佳 按压式吸奶器    1个/盒,健之佳 按压式吸奶器 ,1个/盒,1  盒  ,Q/0285JZJ 005-2016 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 母乳储存袋10枚 健之佳 母乳储存袋10枚    210ml,健之佳 母乳储存袋10枚 ,210ml,1  盒  ,GB983-1988 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 隐形 乳头矫正器 健之佳 隐形 乳头矫正器    1个,健之佳 隐形 乳头矫正器 ,1个,1  盒  ,Q/23HDHF11-2015 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
除臭袜 除臭袜    一双/盒,除臭袜 ,一双/盒,1  盒  ,FZ/T73001-2008 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 艾咪电动吸奶器  健之佳 艾咪电动吸奶器     1个/盒,健之佳 艾咪电动吸奶器  ,1个/盒,1  盒  ,7878787 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
欧纯万向型匀压吸奶器 不含双酚 欧纯万向型匀压吸奶器 不含双酚    1个/盒,欧纯万向型匀压吸奶器 不含双酚 ,1个/盒,1  盒  ,GB9688-1988 ,青岛千江生物工程有限公司 ,佛山健多多医疗器械有限公司,有
欧纯宜家电热蚊香液（1器+1液） 欧纯宜家电热蚊香液（1器+1液）    1器+1液/盒,欧纯宜家电热蚊香液（1器+1液） ,1器+1液/盒,1  盒  ,HNP35046-l2792 ,青岛千江生物工程有限公司 ,佛山健多多医疗器械有限公司,有
鱼跃手杖YU822 鱼跃手杖YU822    1根/盒,鱼跃手杖YU822 ,1根/盒,1  盒  ,JSAY2016122928 ,江苏鱼跃医疗设备股份有限公司 ,佛山健多多医疗器械有限公司,有
金艾柱 金艾柱    54壮/盒,金艾柱 ,54壮/盒,1  个  ,Q/0285ENW003-2017 ,青岛海氏海诺恩诺威健康科技有限公司 ,佛山健多多医疗器械有限公司,有
女性艾柱 女性艾柱    54壮/盒,女性艾柱 ,54壮/盒,1  个  ,Q/0285ENW003-2017 ,青岛海氏海诺恩诺威健康科技有限公司 ,佛山健多多医疗器械有限公司,有
纯艾柱 纯艾柱    54壮/盒,纯艾柱 ,54壮/盒,1  个  ,Q/0285ENW003-2017 ,青岛海氏海诺恩诺威健康科技有限公司 ,佛山健多多医疗器械有限公司,有
驱蚊贴 驱蚊贴    20片/盒,驱蚊贴 ,20片/盒,1  盒  ,Q/0285HNS015-2015 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
五赫兹高效能抗菌防霾口罩蓝色 五赫兹高效能抗菌防霾口罩蓝色    2片/袋,五赫兹高效能抗菌防霾口罩蓝色 ,2片/袋,1  袋  ,（闽）XK02-001-00009 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
五赫兹高效能抗菌防霾口罩黑色 五赫兹高效能抗菌防霾口罩黑色    2片/袋,五赫兹高效能抗菌防霾口罩黑色 ,2片/袋,1  袋  ,（闽）XK02-001-00009 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
五赫兹牌卫生湿巾成人护理型 五赫兹牌卫生湿巾成人护理型    10片/包,五赫兹牌卫生湿巾成人护理型 ,10片/包,1  包  ,闽卫消证字（2016）第0008号 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
五赫兹拍卫生湿巾母婴护理型 五赫兹拍卫生湿巾母婴护理型    80片/包,五赫兹拍卫生湿巾母婴护理型 ,80片/包,1  包  ,闽卫消证字（2016）第0008号 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
5赫兹牌消毒液商务携带型无味 5赫兹牌消毒液商务携带型无味    40ml/瓶,5赫兹牌消毒液商务携带型无味 ,40ml/瓶,1  瓶  ,GB26367-2010GB27951-2011GB27952-2011 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
5赫兹牌消毒液女性护理型无味 5赫兹牌消毒液女性护理型无味    200ml/瓶,5赫兹牌消毒液女性护理型无味 ,200ml/瓶,1  瓶  ,GB26367-2010GB27951-2011GB27952-2011 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
5赫兹牌消毒液女性护理型玫瑰 5赫兹牌消毒液女性护理型玫瑰    200ml/瓶,5赫兹牌消毒液女性护理型玫瑰 ,200ml/瓶,1  瓶  ,GB26367-2010GB27951-2011GB27952-2011 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
手口抗菌喷剂 手口抗菌喷剂    25ml/盒,手口抗菌喷剂 ,25ml/盒,1  盒  ,鲁卫消证字（2016）第0604号 ,海氏海诺倍适威医疗用品（青岛）有限公司 ,佛山健多多医疗器械有限公司,有
 豪邦医用固定带护腰带 腰托 HB-B03 M码    1条/盒, ,1条/盒,1  盒  ,YXB/冀衡0006-2014 ,衡水豪邦医疗器械厂 ,佛山健多多医疗器械有限公司,有
 豪邦颈椎牵引固定器A04 L码    1条/盒, ,1条/盒,1  盒  ,YXB/冀 衡0006-2014 ,衡水豪邦医疗器械厂 ,佛山健多多医疗器械有限公司,有
 豪邦颈椎牵引固定器A04 XL码    1条/盒, ,1条/盒,1  盒  ,YXB/冀 衡0006-2014 ,衡水豪邦医疗器械厂 ,佛山健多多医疗器械有限公司,有
 佛山东方 腋拐FS925L（M）中码    1支/盒, ,1支/盒,1  盒  ,GB/T 19545.2-2009 ,佛山市东方医疗设备厂 ,佛山健多多医疗器械有限公司,有
 佛山东方凳拐FS911L 手杖凳    1支/盒, ,1支/盒,1  盒  ,GB/T19545.2-2009 ,佛山市东方医疗设备厂 ,佛山健多多医疗器械有限公司,有
 亿方真空拔罐器 14罐加厚圆形拔罐抽气枪家用YFZ-14A磁针型    14罐/盒, ,14罐/盒,1  盒  ,YZB/延州0019-2013 ,吉林延边亿方实业有限公司 ,佛山健多多医疗器械有限公司,有
 欧姆龙医用电子血压计HBP-1300    1台/盒, ,1台/盒,1  台  ,辽食药监生产许20150061号 ,欧姆龙(大连)有限公司 ,佛山健多多医疗器械有限公司,有
I泰恩康 一次性使用医用口罩 I泰恩康 一次性使用医用口罩    8个/包,I泰恩康 一次性使用医用口罩 ,8个/包,1  包  ,粤械注准20162640663 ,汕头市泰恩康医用器材厂有限公司 ,惠州市利佳康园医药科技有限公司,有
雪茶润珠 雪茶润珠    10ml,雪茶润珠 ,10ml,1  盒  ,宁卫械备20160002号 ,宁夏西域医疗科技有限公司 ,惠州市利佳康园医药科技有限公司,有
雪茶润珠 雪茶润珠    10ml,雪茶润珠 ,10ml,1  盒  ,宁卫械备20160002号 ,宁夏西域医疗科技有限公司 ,惠州市信合惠通实业有限公司,有
阿胶红枣蛋白质粉 阿胶红枣蛋白质粉    900克,阿胶红枣蛋白质粉 ,900克,1  盒  ,SC10644051100212 ,广东益瑞生物科技有限公司 ,惠州市信合惠通实业有限公司,有
 豪邦医用（腰椎）牵引架 HB-F02    1台/盒, ,1台/盒,1  盒  ,YZB/冀衡0007-2010 ,冀州市豪邦医疗器械厂 ,广州骉骉医疗器械科技有限公司,有
 敷尔佳医用面膜透明质酸钠修复贴    5贴/盒, ,5贴/盒,200  盒  ,黑食药监生产许20160030号 ,哈尔滨三联药业股份有限公司 ,广州骉骉医疗器械科技有限公司,有
 棉花朵朵 医用棉签（单头）    10cm*50支/袋, ,10cm*50支/袋,1  包  ,YZB/鲁青0063-2013 ,青岛盛久医疗用品有限公司 ,中山市胜美保健食品有限公司,有
I诺丝温莎茉莉花香 I诺丝温莎茉莉花香    12个装,I诺丝温莎茉莉花香 ,12个装,1  盒  ,计生用品 ,广东诺丝科技股份有限公司 ,中山市胜美保健食品有限公司,有
I诺丝温莎超薄果香型（葡萄味） I诺丝温莎超薄果香型（葡萄味）    12个装,I诺丝温莎超薄果香型（葡萄味） ,12个装,1  盒  ,计生用品 ,广东诺丝科技股份有限公司 ,中山市胜美保健食品有限公司,有
I诺丝特大颗粒浪漫兴奋装 I诺丝特大颗粒浪漫兴奋装    12个装,I诺丝特大颗粒浪漫兴奋装 ,12个装,1  盒  ,计生用品 ,广东诺丝科技股份有限公司 ,中山市胜美保健食品有限公司,有
帮德007天然胶乳橡胶避孕套（性幻颗粒）经典装香橙味 帮德007天然胶乳橡胶避孕套（性幻颗粒）经典装香橙味    12只,帮德007天然胶乳橡胶避孕套（性幻颗粒）经典装香橙味 ,12只,1  盒  ,计生用品 ,湛江市汇通药业有限公司 ,中山市胜美保健食品有限公司,有
帮德007天然胶乳橡胶避孕套（激情颗粒）经典香蕉香装 帮德007天然胶乳橡胶避孕套（激情颗粒）经典香蕉香装    3只,帮德007天然胶乳橡胶避孕套（激情颗粒）经典香蕉香装 ,3只,1  盒  ,计生用品 ,湛江市汇通药业有限公司 ,中山市胜美保健食品有限公司,有
帮德007天然胶乳橡胶避孕套（时尚纤薄）玫瑰香 帮德007天然胶乳橡胶避孕套（时尚纤薄）玫瑰香    10只,帮德007天然胶乳橡胶避孕套（时尚纤薄）玫瑰香 ,10只,1  盒  , ,湛江市汇通药业有限公司 ,中山市胜美保健食品有限公司,有
 F银诺克 黑蚂蚁透骨贴    6贴装, ,6贴装,1  盒  ,鲁济械备20140214号 ,济南君浩医药科技有限公司 ,东莞市仁韩参茸有限公司,有
帮德007天然胶乳橡胶避孕套（零感纤薄）经典装香草香 帮德007天然胶乳橡胶避孕套（零感纤薄）经典装香草香    3只,帮德007天然胶乳橡胶避孕套（零感纤薄）经典装香草香 ,3只,960  盒  ,计生用品 ,湛江市汇通药业有限公司 ,江苏全佳康医药有限公司,有
渠道I魏氏磁疗骨痛贴 I魏氏磁疗骨痛贴    5贴,I魏氏磁疗骨痛贴 ,5贴,1  盒  ,甘食药监械（准）字2013第2260020号 ,天水魏氏彤泰药业有限公司 ,广州市巨孚达医药有限公司,无
拜欧仁康口罩（N95）黑色拜欧仁康拜欧仁康 拜欧仁康口罩（N95）黑色    ：KN95 (1只),拜欧仁康口罩（N95）黑色拜欧仁康拜欧仁康 ,：KN95 (1只),2000  只  ,（赣）XK02-001-00014 ,靖安县万家工贸有限公司 ,成都拜欧药业股份有限公司,有
驱蚊贴 驱蚊贴    12片/盒,驱蚊贴 ,12片/盒,10  盒  ,Q/0285HNS015 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
G欧纯 一次性使用无菌敷贴（6cm*7cm） G欧纯 一次性使用无菌敷贴（6cm*7cm）    6cm*7cm,G欧纯 一次性使用无菌敷贴（6cm*7cm） ,6cm*7cm,1  盒  ,浙械注准20152640458 ,嘉兴美森医用材料有限公司 ,佛山健多多医疗器械有限公司,有
I魏氏磁疗骨痛贴 I魏氏磁疗骨痛贴    5贴,I魏氏磁疗骨痛贴 ,5贴,1  盒  ,甘食药监械（准）字2013第2260020号 ,天水魏氏彤泰药业有限公司 ,广州骉骉医疗器械科技有限公司,有
 冈本超润滑透薄    3片/盒, ,3片/盒,1  盒  ,YZB/JAP8245-2014 ,深圳市万生堂实业有限公司 ,佛山健多多医疗器械有限公司,有
 盛海磁疗自发热护膝    1条/盒, ,1条/盒,1  盒  ,JSAY2016123011 ,石家庄大桥医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 神农温灸艾柱108粒    108粒/盒, ,108粒/盒,1  盒  ,YZB/豫0030-2003 ,南阳神农艾草生物制品有限公司 ,佛山健多多医疗器械有限公司,有
 华鑫医用 外科纱布敷料     10*12cm, , 10*12cm,20  包  ,鲁食药监生产许20110155号 ,曹县华鑫卫生材料有限公司 ,佛山健多多医疗器械有限公司,有
 名德 75%酒精消毒液    500ml/瓶, ,500ml/瓶,1  瓶  ,赣卫消证字（2010）第0033号 ,山东利尔康消毒科技有限公司江西分公司 ,佛山健多多医疗器械有限公司,有
 千江 大肚子瘦身脐贴    5贴/盒, ,5贴/盒,1  盒  ,Q/23HDHF11-2015 ,河北厚德汉方医疗器械股份有限公司 ,佛山健多多医疗器械有限公司,有
 利尔康医用酒精消毒液    100ml/瓶, ,100ml/瓶,1  盒  ,赣卫消证字（2010）第0033号 ,山东利尔康医疗科技股份有限公司 ,佛山健多多医疗器械有限公司,有
 神你顽癣软膏    20g/支, ,20g/支,1  盒  ,赣卫消证了(2010)第0115号 ,江西神你药业有限公司 ,佛山健多多医疗器械有限公司,有
