通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
康祝弹力绷带膝部（一对）L码 康祝弹力绷带膝部（一对）L码    1个/盒,康祝弹力绷带膝部（一对）L码 ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝远红外护具护踝KZ-H M码    1套/盒, ,1套/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带腕部 KD4612 均码一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝远红外护具(护膝) M码    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带膝部KD4619 M码一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝KZ-DJ远红外护肩运动保护(单肩)L码 一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝远红外护腿运动护具 KZ-T L码一对    1对/盒, ,1对/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝系列远红外护具护腰 XL码    1个/盒, ,1个/盒,1  盒  ,京药监械(准)字2012第2260432号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带膝部KD4617 M码    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带膝部 KD4618 S码    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带踝部KD4614 L码一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,广州骉骉医疗器械科技有限公司,有
 康祝弹力绷带肘部KD4613 均码一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,广州骉骉医疗器械科技有限公司,有
医用橡皮膏 医用橡皮膏    ：13卷*1000cm*1cm,医用橡皮膏 ,：13卷*1000cm*1cm,1  盒  ,粤江食药监械（准）字2008第1640003号（更） ,广东恒健制药有限公司 ,成都拜欧药业股份有限公司,有
PM2.5阀门口罩(儿童) PM2.5阀门口罩(儿童)    1个(5个过滤片).,PM2.5阀门口罩(儿童) ,1个(5个过滤片).,336  片  , ,厦门蓝星企业有限公司 ,成都拜欧药业股份有限公司,有
 白云山星群 晕车贴    3片/盒, ,3片/盒,100  盒  ,粤汕食药监械生产备20160008号 ,广东达成弘业医疗科技有限公司 ,湛江市弘安药业有限公司,有
 彪中堂 银离子妇用凝胶    3g*3支/盒, ,3g*3支/盒,1  盒  ,苏械注准20172642141 ,扬州芙莱瑞生物科技有限公司 ,湛江市弘安药业有限公司,有
 喷必净 生理性海水鼻腔喷雾器    70ml*1瓶/盒, ,70ml*1瓶/盒,1  盒  ,苏食药监械(准)字2014第2260603号 ,南京天朗制药有限公司 ,湛江市弘安药业有限公司,有
 和安 复方氨基酸胶囊(8-11)    350mg*10粒/盒*200盒/件, ,350mg*10粒/盒*200盒/件,1  盒  ,国药准字H20000478 ,深圳万和制药有限公司 ,湛江市弘安药业有限公司,有
 柏美星 百蕊颗粒    5g*4袋/盒*360盒/件, ,5g*4袋/盒*360盒/件,100  盒  ,国药准字Z20090694 ,安徽九华华源药业有限公司 ,湛江市弘安药业有限公司,有
