通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
 甲正王除臭液    12ml, ,12ml,400  盒  ,国妆特字G20080006 ,柳州市中兴日用化工厂 ,湖南鑫和医药有限责任公司,无
 甲正王除臭液    12ml, ,12ml,100  盒  ,国妆特字G20080006 ,柳州市中兴日用化工厂 ,广西千紫红药业有限责任公司,无
 甲正王除臭液    12ml, ,12ml,1  盒  ,国妆特字G20080006 ,柳州市中兴日用化工厂 ,东莞市健美堂医药科技有限公司,无
 甲正王除臭液    12ml, ,12ml,1  支  ,国妆特字G20080006 ,广西柳州中兴日用化工厂 ,四川泓坤医药贸易有限公司,无
 眼舒适    12ml, ,12ml,1  瓶  , ,山西圣君药业有限公司 ,中山市龙裕医药有限公司,无
 黄皮肤乳膏    10g, ,10g,400  盒  ,赣卫消证字（2010）第0076号 ,江西报恩堂药业有限公司 ,安徽腾尔健医药生物技术有限公司,无
 金银花纯花露水(抑菌剂)    185ml, ,185ml,60  瓶  ,苏卫消证字(2011)第0050号 ,南京辅安堂药业有限公司 ,山东健志医药科技开发有限公司,无
 祛痱止痒纯花露水(抑菌剂)    185ml, ,185ml,60  瓶  ,苏卫消证字(2011)第0050号 ,南京辅安堂药业有限公司 ,山东健志医药科技开发有限公司,无
 黄皮肤乳膏    10g, ,10g,400  盒  ,赣卫消证字（2010）第0076号 ,江西报恩堂药业有限公司 ,山东健志医药科技开发有限公司,无
 邦克狼毒喷脚王抑菌喷剂    60ml, ,60ml,1  瓶  , ,江西邦克实业有限公司 ,中山市龙裕医药有限公司,无
 黄皮肤乳膏    10g, ,10g,400  盒  ,赣卫消证字（2010）第0076号 ,江西报恩堂药业有限公司 ,安徽华源盛铭药业有限公司,无
 盐酸左氧氟沙星滴眼液    5ml:15mg, ,5ml:15mg,500  盒  ,国药准字H20050573 ,北京朋来制药有限公司 ,山东健志医药科技开发有限公司,无
 盐酸左氧氟沙星滴眼液    5ml:15mg, ,5ml:15mg,1  盒  ,国药准字H20050573 ,北京朋来制药有限公司 ,重庆春秋医药有限公司,无
 蛇胆牛黄纯花露水(抑菌剂)    185ml, ,185ml,60  瓶  ,苏卫消证字(2011)第0050号 ,南京辅安堂药业有限公司 ,山东健志医药科技开发有限公司,无
 甲正王除臭液    12ml, ,12ml,400  盒  ,国妆特字G20080006 ,柳州市中兴日用化工厂 ,重庆真善美医药有限公司,无
 甲正王除臭液    12ml, ,12ml,50  盒  ,国妆特字G20080006 ,柳州市中兴日用化工厂 ,东莞市苗佳医药有限公司,无
 盐酸左氧氟沙星滴眼液    5ml:15mg, ,5ml:15mg,500  盒  ,国药准字H20050573 ,北京朋来制药有限公司 ,湖北鼎丰康医药有限公司,无
 白凡士林    400g, ,400g,48  盒  ,冀卫消证字（2008）第0043号 ,衡水益仁药业有限公司 ,黑龙江省佳瑞宝医药有限责任公司,无
 白凡士林    400g, ,400g,48  盒  ,冀卫消证字（2008）第0043号 ,衡水益仁药业有限公司 ,华源康信（武汉）医药有限公司,无
 蛇胆牛黄纯花露水(抑菌剂)    185ml, ,185ml,60  瓶  ,苏卫消证字(2011)第0050号 ,南京辅安堂药业有限公司 ,华源康信（武汉）医药有限公司,无
 祛痱止痒纯花露水(抑菌剂)    185ml, ,185ml,60  瓶  ,苏卫消证字(2011)第0050号 ,南京辅安堂药业有限公司 ,安徽华源盛铭药业有限公司,无
 盐酸左氧氟沙星滴眼液    5ml:15mg, ,5ml:15mg,500  盒  ,国药准字H20050573 ,北京朋来制药有限公司 ,湖南鑫和医药有限责任公司,无
 金银花纯花露水(抑菌剂)    185ml, ,185ml,60  瓶  ,苏卫消证字(2011)第0050号 ,南京辅安堂药业有限公司 ,安徽华源盛铭药业有限公司,无
 蛇胆牛黄纯花露水(抑菌剂)    185ml, ,185ml,60  瓶  ,苏卫消证字(2011)第0050号 ,南京辅安堂药业有限公司 ,安徽华源盛铭药业有限公司,无
 甲正王除臭液    12ml, ,12ml,500  盒  ,国妆特字G20080006 ,柳州市中兴日用化工厂 ,四川恒源医药科技有限公司,有
 盐酸左氧氟沙星滴眼液    5ml:15mg, ,5ml:15mg,1  盒  ,国药准字H20050573 ,北京朋来制药有限公司 ,黑龙江省华源医药股份有限公司,有
 甲正王除臭液    12ml, ,12ml,400  盒  ,国妆特字G20080006 ,柳州市中兴日用化工厂 ,岳阳康尔医药有限公司,无
 灵方牌脚臭净喷剂    30ml, ,30ml,1  瓶  ,(2006)卫妆准字(渝)115号 ,重庆灵方生物技术有限公司 ,深圳市同兴泰医药有限公司,无
 黄皮肤抗菌凝胶    15g, ,15g,100  盒  ,赣卫消证字(2010)第0076号 ,江西报恩堂药业有限公司 ,广西千紫红药业有限责任公司,无
 盐酸左氧氟沙星滴眼液    5ml:15mg, ,5ml:15mg,500  盒  ,国药准字H20050573 ,北京朋来制药有限公司 ,湖北祥林医药有限公司,无
 黄皮肤乳膏    10g, ,10g,400  盒  ,赣卫消证字（2010）第0076号 ,江西报恩堂药业有限公司 ,山东奥瑞森医药有限公司,无
 狼毒脚癣净    60ml, ,60ml,999  盒  ,赣卫消证字(2010)第0095号 ,江西盖天灵药业有限公司 ,惠州市一通医药有限公司,无
 狼毒喷脚王    60ml, ,60ml,100  盒  ,赣卫消证字(2014)第0007号 ,江西赣泽实业有限责任公司 ,惠州市方舟药业有限公司,无
 盐酸左氧氟沙星滴眼液    5ml:15mg, ,5ml:15mg,500  盒  ,国药准字H20050573 ,北京朋来制药有限公司 ,山东奥瑞森医药有限公司,无
 黄皮肤抗菌凝胶    15g, ,15g,400  盒  ,赣卫消证字(2010)第0076号 ,江西报恩堂药业有限公司 ,山东奥瑞森医药有限公司,无
 脚爽喷剂    80ml, ,80ml,1  瓶  ,豫卫妆准字1995第25-xk-0005号 ,镇平县仲景药业有限公司出品 ,惠州市海辰药业有限公司,无
渠道 中医世家草本乳膏    15g, ,15g,1  盒  ,赣卫消证字(2011)第0047号 ,江西序诚生物科技有限公司 ,四川仁通医药有限公司,无
渠道 黄皮肤抗菌凝胶    15g, ,15g,400  盒  ,赣卫消证字(2010)第0076号 ,江西报恩堂药业有限公司 ,四川仁通医药有限公司,无
 白凡士林    400g, ,400g,48  盒  ,冀卫消证字（2008）第0043号 ,衡水益仁药业有限公司 ,安徽腾尔健医药生物技术有限公司,无
 灵方牌脚臭净喷剂    30ml, ,30ml,60  瓶  ,(2006)卫妆准字(渝)115号 ,重庆灵方生物技术有限公司 ,广州市济帆药业有限公司,无
