通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
达力芬  头孢克肟颗粒     50mg*6包,达力芬 , 50mg*6包,240  支  ,国药准字H20020512 ,国药集团致君（深圳）制药有限公司 ,广东壹号药业有限公司,无
倍特 伊曲康唑胶囊    0.1g*14粒,倍特 ,0.1g*14粒,300  盒  ,国药准字H20010767 ,成都倍特药业有限公司 ,广东壹号药业有限公司,无
赛乐林 罗红霉素胶囊    0.15g*12粒,赛乐林 ,0.15g*12粒,300  盒  ,国药准字H19990361 ,珠海联邦制药股份有限公司中山分公司 ,广东壹号药业有限公司,无
渠道可乐必妥 左氧氟沙星片    0.1g*10片,可乐必妥 ,0.1g*10片,300  盒  ,国药准字H20000655 ,第一三共制药（北京）有限公司 ,广东壹号药业有限公司,无
玫满 盐酸米诺环素胶囊    100mg*10粒,玫满 ,100mg*10粒,300  盒  ,国药准字H20174081 ,海正辉瑞制药有限公司 ,广东壹号药业有限公司,无
希刻劳   头孢克洛干混悬剂    125mg*6袋,希刻劳 ,125mg*6袋,200  盒  ,国药准字H10983028 ,礼来苏州制药有限公司 ,广东壹号药业有限公司,无
信谊 柳氮磺吡啶肠溶片    0.25g*60片,信谊 ,0.25g*60片,200  盒  ,国药准字H31020557 ,上海信谊天平药业有限公司 ,广东壹号药业有限公司,无
渠道希舒美 阿奇霉素干混悬剂    0.1g*6袋,希舒美 ,0.1g*6袋,150  盒  ,国药准字H10960112 ,辉瑞制药有限公司 ,广东壹号药业有限公司,无
维宏 阿奇霉素干混悬剂    0.1g*10袋,维宏 ,0.1g*10袋,10  盒  ,国药准字H10980217 ,石药集团欧意药业有限公司 ,广东壹号药业有限公司,无
丽珠克毒星 阿昔洛韦片    0.1g*24片,丽珠克毒星 ,0.1g*24片,240  盒  ,国药准字H44023592 ,丽珠集团丽珠制药厂 ,广东壹号药业有限公司,无
希刻劳 头孢克洛缓释片(II)    0.375g*6片,希刻劳 ,0.375g*6片,400  盒  ,国药准字H20020571 ,礼来苏州制药有限公司 ,广东壹号药业有限公司,无
抗之霸 阿莫西林胶囊    0.25g*50粒,抗之霸 ,0.25g*50粒,400  盒  ,国药准字H44021518 ,广州白云山医药集团股份有限公司白云山制药总厂 ,广东壹号药业有限公司,无
渠道再林 阿莫西林颗粒    0.125g*24袋,再林 ,0.125g*24袋,200  盒  ,国药准字H46020605 ,先声药业有限公司 ,广东壹号药业有限公司,无
抗之霸 阿莫西林胶囊    0.25g*20粒,抗之霸 ,0.25g*20粒,1000  盒  ,国药准字H44021518 ,广州白云山制药股份有限公司广州白云山制药总厂 ,广东壹号药业有限公司,无
新博林 利巴韦林颗粒    50mg*18袋,新博林 ,50mg*18袋,200  盒  ,国药准字H51023508 ,四川百利药业有限责任公司 ,广东壹号药业有限公司,无
希刻劳 头孢克洛干混悬剂    125mg*6袋,希刻劳 ,125mg*6袋,200  盒  ,国药准字H10983028 ,礼来苏州制药有限公司 ,广东壹号药业有限公司,无
震元 制霉素片    50万单位*100片,震元 ,50万单位*100片,10  盒  ,国药准字H33021393 ,浙江震元制药有限公司 ,广东壹号药业有限公司,无
再林 阿莫西林颗粒    0.125g*24袋,再林 ,0.125g*24袋,200  盒  ,国药准字H46020605 ,先声药业有限公司 ,广东壹号药业有限公司,无
拜复乐   盐酸莫西沙星片      0.4g*3片,拜复乐 ,  0.4g*3片,270  盒  ,国药准字J20150015 ,拜耳医药保健有限公司 ,重庆亿昊药业有限公司,无
彼优刻  头孢克洛颗粒    0.125g*6袋,彼优刻 ,0.125g*6袋,400  盒  ,国药准字H20059922 ,广东彼迪药业有限公司 ,广东壹号药业有限公司,无
特普宁 头孢克肟胶囊    0.1g*12粒,特普宁 ,0.1g*12粒,400  盒  ,国药准字H20041661 ,成都倍特药业有限公司 ,广东壹号药业有限公司,无
纷乐 硫酸羟氯喹片    0.1g*14s,纷乐 ,0.1g*14s,200  盒  ,国药准字H19990263 ,上海上药中西制药有限公司 ,广东壹号药业有限公司,无
大扶康 氟康唑胶囊    50mg*7粒,大扶康 ,50mg*7粒,120  盒  ,国药准字H10960165 ,辉瑞制药有限公司 ,广东壹号药业有限公司,无
彼欣 泛昔洛韦胶囊    0.125g*6粒,彼欣 ,0.125g*6粒,200  盒  ,国药准字H20020184 ,广东彼迪药业有限公司 ,广东壹号药业有限公司,无
江波  克拉霉素缓释片    0.5g*4片,江波 ,0.5g*4片,400  盒  ,国药准字H20052746 ,莱阳市江波制药有限责任公司 ,广东壹号药业有限公司,无
绿因 阿奇霉素干混悬剂    0.1g*6袋,绿因 ,0.1g*6袋,1  个  ,国药准字H20059971 ,山东绿因药业有限公司 ,广东壹号药业有限公司,无
京丰 乙酰螺旋霉素片    0.1g*24片,京丰 ,0.1g*24片,600  盒  ,国药准字H11020337 ,北京京丰制药集团有限公司 ,重庆亿昊药业有限公司,无
希舒美   阿奇霉素片    0.25g*6片,希舒美 ,0.25g*6片,160  盒  ,国药准字H10960167 ,辉瑞制药有限公司 ,重庆亿昊药业有限公司,无
克必力 头孢拉定颗粒    0.125g*12袋,克必力 ,0.125g*12袋,200  盒  ,国药准字H44021526 ,广州白云山医药集团股份有限公司白云山制药总厂 ,广东壹号药业有限公司,无
达力新  头孢呋辛酯胶囊    0.125g*12粒,达力新 ,0.125g*12粒,400  盒  ,国药准字H20000401 ,国药集团致君（深圳）制药有限公司 ,广东壹号药业有限公司,无
希舒美   阿奇霉素片    0.25g*6片,希舒美 ,0.25g*6片,160  盒  ,国药准字H10960167 ,辉瑞制药有限公司 ,重庆亿昊药业有限公司,无
克必力 头孢拉定颗粒    0.125g*12袋,克必力 ,0.125g*12袋,200  盒  ,国药准字H44021526 ,广州白云山医药集团股份有限公司白云山制药总厂 ,广东壹号药业有限公司,无
湘江 阿奇霉素颗粒    0.1g*6袋,湘江 ,0.1g*6袋,200  盒  ,国药准字H20063898 ,湖南千金湘江药业股份有限公司 ,广东壹号药业有限公司,无
南药 交沙霉素片    0.2g*12片,南药 ,0.2g*12片,200  盒  ,国药准字H10900098 ,桂林南药股份有限公司 ,广东壹号药业有限公司,无
新赛斯平 环孢素软胶囊    25mg*50粒,新赛斯平 ,25mg*50粒,40  盒  ,国药准字H10960122 ,杭州中美华东制药有限公司 ,广东壹号药业有限公司,无
京新 克拉霉素片    0.25g*6片,京新 ,0.25g*6片,10  盒  ,国药准字H20065652 ,浙江京新药业股份有限公司 ,广东壹号药业有限公司,无
达力芬  头孢克肟颗粒     50mg*6包,达力芬 , 50mg*6包,240  支  ,国药准字H20020512 ,国药集团致君（深圳）制药有限公司 ,重庆亿昊药业有限公司,无
联邦安必仙 氨苄西林胶囊    0.25g*36粒,联邦安必仙 ,0.25g*36粒,200  盒  ,国药准字H44024353 ,珠海联邦制药股份有限公司中山分公司 ,广东壹号药业有限公司,无
玫满 盐酸米诺环素胶囊    50mg*20粒,玫满 ,50mg*20粒,300  盒  ,国药准字H20174080；国药准字H10690011 ,海正辉瑞制药有限公司 ,广东壹号药业有限公司,无
玫满 盐酸米诺环素胶囊    50mg*20粒,玫满 ,50mg*20粒,300  盒  ,国药准字H20174080；国药准字H10690011 ,海正辉瑞制药有限公司 ,广东壹号药业有限公司,无
纷乐 硫酸羟氯喹片    0.1g*14片,纷乐 ,0.1g*14片,200  盒  ,国药准字H19990263 ,上海上药中西制药有限公司 ,广东壹号药业有限公司,无
抗之霸 阿莫西林胶囊    0.25g*50粒,抗之霸 ,0.25g*50粒,400  盒  ,国药准字H44021518 ,广州白云山医药集团股份有限公司白云山制药总厂 ,重庆亿昊药业有限公司,无
其他 头孢丙烯分散片    0.25g*8片,其他 ,0.25g*8片,100  盒  ,国药准字H20052514 ,广州白云山医药集团股份有限公司白云山制药总厂 ,广东壹号药业有限公司,无
希诺 头孢克洛分散片    0.125g*12片*1板,希诺 ,0.125g*12片*1板,400  盒  ,国药准字H19990042 ,海南惠普森医药生物技术有限公司 ,广东壹号药业有限公司,无
阿莫仙 阿莫西林胶囊    0.25g*24粒,阿莫仙 ,0.25g*24粒,300  盒  ,国药准字H44021351 ,珠海联邦制药股份有限公司中山分公司 ,广东壹号药业有限公司,无
希舒美 阿奇霉素干混悬剂    0.1g*6袋,希舒美 ,0.1g*6袋,150  盒  ,国药准字H10960112 ,辉瑞制药有限公司 ,重庆亿昊药业有限公司,无
京丰 乙酰螺旋霉素片    0.1g*24片,京丰 ,0.1g*24片,600  盒  ,国药准字H11020337 ,北京京丰制药集团有限公司 ,广东壹号药业有限公司,无
抗之霸 阿莫西林胶囊    0.25g*50粒,抗之霸 ,0.25g*50粒,400  盒  ,国药准字H44021518 ,广州白云山医药集团股份有限公司白云山制药总厂 ,广东壹号药业有限公司,无
恒健特力素 头孢克肟颗粒    50mg*6袋,恒健特力素 ,50mg*6袋,10  个  ,国药准字H20051928 ,广东恒健制药有限公司 ,广东壹号药业有限公司,无
