供应商名称,商品名称,生产厂家,销售价,有效期,规格,销量
采药易,天士力 复方丹参滴丸,天士力医药集团股份有限公司,27.60,2022.07.31,27mg*180丸(薄膜衣),132586
采药易,白云山 小柴胡颗粒,广州白云山光华制药股份有限公司,14.50,2020.12.31,10g*10袋,112048
采药易,络活喜 苯磺酸氨氯地平片,辉瑞制药有限公司,33.20,2023.09.30,5mg*7s,174539
采药易,络活喜 苯磺酸氨氯地平片,辉瑞制药有限公司,28.50,2023.09.30,5mg*7s,175022
采药易,罗浮山 咳特灵片,广东罗浮山国药股份有限公司,4.40,2021.06.30,100片,30525
采药易,弘明远 苯磺酸左旋氨氯地平片,南昌弘益药业有限公司,6.50,2020.11.25,2.5mg*14s,112464
采药易,倍他乐克 琥珀酸美托洛尔缓释片,阿斯利康制药有限公司,16.30,2021.05.31,47.5mg*7片,341448
采药易,以岭 连花清瘟胶囊,石家庄以岭药业股份有限公司,10.85,2021.06.30,0.35g*24粒,256608
采药易特推,湖北广仁 复方杏香兔耳风片,湖北广仁药业有限公司,12.80,2020.11.30,0.5g*12片*4板,652
采药易特推,枸橼酸西地那非片,吉林金恒制药股份有限公司,178.00,2021.03.31,50mg*9片,52
采药易,万适宁 匹多莫德片,太阳石(唐山)药业有限公司,25.90,2020.11.30,0.4g*8片,1072
采药易,富利他之 普伐他汀钠片,瀚晖制药有限公司,26.80,2020.10.31,20mg*10片,4210
采药易,江苏恒瑞 盐酸坦索罗辛缓释胶囊,江苏恒瑞医药股份有限公司,21.00,2021.06.19,0.2mg*10粒,11587
采药易,地高辛片,西南药业股份有限公司,9.90,2019.07.31,0.25mg*100s,725
采药易,拜新同 硝苯地平控释片,拜耳医药保健有限公司,55.00,2021.09.27,30mg*7片,96314
采药易,潘舒泰克 泮托拉唑钠肠溶片,锦州九泰药业有限责任公司,13.50,2019.12.01,40mg*14片,158
采药易,西比灵 盐酸氟桂利嗪胶囊,西安杨森制药有限公司,22.90,2021.06.30,5mg*20粒,93473
采药易,息斯敏 氯雷他定片,西安杨森制药有限公司,17.60,2022.03.31,10mg*6片,29196
采药易特推,产后康膏,江苏海昇药业有限公司,138.00,2020.03.31,240g,396
采药易特推,同仁堂 阿胶,北京同仁堂科技发展股份有限公司制药厂,199.00,2020.04.30,31.25g*4块,855
采药易特推,胶体果胶铋胶囊,佛山市华普生药业有限公司,6.00,2020.05.31,100mg*24粒,482
采药易特推,胶体果胶铋胶囊,佛山市华普生药业有限公司,8.50,2020.03.31,100mg*36粒,369
采药易特推,石家庄华鹏 鹿角胶,石家庄华鹏药业有限公司,9999.00,2021.05.31,250g(木盒),88
采药易特推,石家庄华鹏 为诚 阿胶,石家庄华鹏药业有限公司,9999.00,2021.05.31,250g（纸盒）,252
采药易,拜阿司匹灵 阿司匹林肠溶片,Bayer S.p.A.,17.20,2021.09.10,100mg*30片,765237
采药易,河南新帅克 盐酸文拉法辛胶囊,乐普药业股份有限公司,3.80,2020.12.31,25mg*6粒*2板,1527
采药易,江苏正大 润众 恩替卡韦分散片,正大天晴药业集团股份有限公司,92.00,2020.11.30,0.5mg*7片,6915
采药易特推,敖东 血塞通分散片,吉林敖东集团大连药业股份有限公司,19.00,2020.10.31,0.3g*12片*2板,122
采药易特推,伊达力 厄贝沙坦片,瀚晖制药有限公司,6.00,2019.06.30,0.15g*7片,12490
采药易,广东佰和 冠心丹参颗粒,广东佰和药业有限公司,15.90,2020.06.30,1.5g*18袋,410
采药易特推,平坦 盐酸氨溴索片,北京太洋药业股份有限公司,13.50,2021.06.30,30mg*30片,19
采药易,健兴 肺力露 肺力咳合剂,贵州健兴药业有限公司,37.50,2021.07.17,150ml,0
采药易,上海和黄 胆宁片,上海和黄药业有限公司,17.50,2021.02.28,0.36g*60片,2566
采药易,陕西步长 安坤片,陕西步长高新制药有限公司,35.00,2020.08.31,0.46g*45片Ls,99
采药易,济川 蒲地蓝消炎口服液,济川药业集团有限公司,42.00,2020.05.31,10ml*10支,42094
采药易,广东恒诚 金菊五花茶颗粒,广东恒诚制药有限公司,9.66,2020.12.31,10g*20袋,630
采药易,倍他乐克 酒石酸美托洛尔片,阿斯利康制药有限公司,7.15,2021.07.31,25mg*20片,919886
采药易,吴太 感康 复方氨酚烷胺片,吉林省吴太感康药业有限公司,13.18,2021.07.31,12片,138635
采药易,吉加 厄贝沙坦片,江苏恒瑞医药股份有限公司,7.30,2021.01.27,0.15g*7片,327289
采药易,立普妥 阿托伐他汀钙片,辉瑞制药有限公司,58.90,2021.07.31,20mg*7片,234263
采药易,浙江鼎泰 复方酮康唑软膏,浙江鼎泰药业股份有限公司,3.30,2020.12.31,7g,61429
采药易,漳州片仔癀 片仔癀,漳州片仔癀药业股份有限公司,468.00,2023.09.04,3g*1粒,8807
采药易,迪根 双氯芬酸钠缓释片,国药集团致君(深圳)坪山制药有限公司,4.53,2021.10.31,0.1g*12片,177298
采药易,明康欣 阿达帕林凝胶,四川明欣药业有限责任公司,11.50,2020.12.03,15g,18630
采药易,罗浮山 咳特灵胶囊,广东罗浮山国药股份有限公司,4.28,2021.04.30,30粒,112056
采药易,敖东 安神补脑液,吉林敖东延边药业股份有限公司,19.48,2021.06.30,10ml*10支,0
采药易,999 皮炎平 复方醋酸地塞米松乳膏,华润三九医药股份有限公司,8.59,2021.09.30,20g,264202
采药易,福元药业 开塞露,福元药业有限公司,0.59,2022.01.31,20ml*20支,52566
采药易,安内真 苯磺酸氨氯地平片,苏州东瑞制药有限公司,20.50,2021.01.20,5mg*28片,135548
采药易,贵州百灵 维C银翘片,贵州百灵企业集团制药股份有限公司,2.50,2020.08.03,24片,94028
采药易,达克宁 硝酸咪康唑乳膏,西安杨森制药有限公司,18.85,2023.06.30,20g,119361
采药易,波依定 非洛地平缓释片,阿斯利康制药有限公司,32.90,2021.07.31,5mg*10片,157823
采药易,亚斯克平 苯磺酸氨氯地平片,宁波大红鹰药业股份有限公司,3.90,2020.09.30,5mg*28片,48562
采药易,伲福达 硝苯地平缓释片(Ⅱ),青岛黄海制药有限责任公司,21.30,2021.09.27,20mg*30片,172030
采药易,贵州百灵 维C银翘片,贵州百灵企业集团制药股份有限公司,1.58,2020.04.09,18片,95538
采药易,马应龙 麝香痔疮膏,马应龙药业集团股份有限公司,8.99,2021.08.31,10g,210325
采药易,寿比山 吲达帕胺片,天津力生制药股份有限公司,20.50,2021.08.26,2.5mg*30片(糖衣片),87949
采药易,广西金嗓子 金嗓子喉片,广西金嗓子有限责任公司,9.70,2021.08.31,2g*12片,167412
采药易,百多邦 莫匹罗星软膏,中美天津史克制药有限公司,14.90,2020.08.31,5g,101405
采药易,华北制药 阿莫西林胶囊,华北制药股份有限公司,5.80,2021.11.30,0.5g*20粒,104131
采药易,嘉应 双料喉风散,广东嘉应制药股份有限公司,9.56,2022.10.31,2.2g,63730
采药易,护彤 小儿氨酚黄那敏颗粒,哈药集团制药六厂,9.80,2021.06.30,2g*12袋,72372
采药易,倍他乐克 酒石酸美托洛尔片,阿斯利康制药有限公司,11.65,2021.03.31,50mg*20片,110778
采药易,代文 缬沙坦胶囊,北京诺华制药有限公司,34.80,2021.11.30,80mg*7粒,133178
采药易,汉森 四磨汤口服液,湖南汉森制药股份有限公司,18.41,2020.11.30,10ml*8支,54510
采药易,黛力新 氟哌噻吨美利曲辛片,H. Lundbeck A/S,58.90,2021.04.30,(0.5mg+10mg)*20片,81869
采药易,玄宁 马来酸左旋氨氯地平片,石药集团欧意药业有限公司,29.50,2023.04.02,2.5mg*14片,29370
采药易,999 小儿氨酚黄那敏颗粒,华润三九(北京)药业有限公司,7.93,2020.09.30,6g*10袋,197753
采药易,北京双吉 红霉素眼膏,北京双吉制药有限公司,3.75,2023.08.31,2.5g,100234
采药易,同仁堂 京制牛黄解毒片,北京同仁堂科技发展股份有限公司制药厂,25.00,2021.06.30,0.6g*8片*10瓶,55027
采药易,同仁堂 金匮肾气丸,北京同仁堂科技发展股份有限公司制药厂,11.90,2022.06.30,360粒,181021
采药易,顺峰康霜 曲咪新乳膏,广东华润顺峰药业有限公司,3.28,2020.08.08,10g,84697
采药易,以岭 参松养心胶囊,北京以岭药业有限公司,25.90,2021.10.31,0.4g*36粒,67351
采药易,快克 复方氨酚烷胺胶囊,海南亚洲制药股份有限公司,8.20,2021.10.31,10粒,37807
采药易,逸舒维 奥美拉唑肠溶胶囊,广东逸舒制药股份有限公司,4.50,2021.01.20,20mg*28粒,34584
采药易,达乐 缬沙坦分散片,海南皇隆制药股份有限公司,16.80,2020.10.31,80mg*14片,92434
采药易,达美康 格列齐特片(Ⅱ),天津华津制药有限公司,69.00,2021.10.31,80mg*60片,76887
采药易,北京康远 朗迪 碳酸钙D3颗粒,北京振东康远制药有限公司,25.90,2021.10.30,3g*12袋,39233
采药易,希舒美 阿奇霉素干混悬剂,辉瑞制药有限公司,36.50,2023.09.30,0.1g*6袋,140190
采药易,贵州百灵 咳速停糖浆,贵州百灵企业集团制药股份有限公司,8.88,2020.08.22,100ml,44441
采药易,广东心宝 心宝丸,广东心宝药业科技有限公司,10.30,2020.02.29,60mg*20丸,34330
采药易,纷乐 硫酸羟氯喹片,上海上药中西制药有限公司,27.60,2021.11.30,0.1g*14片,87730
采药易,纷乐 硫酸羟氯喹片,上海上药中西制药有限公司,25.30,2021.11.30,0.1g*14片,87745
采药易,倍博特 缬沙坦氨氯地平片(I),Novartis Farmaceutica S.A.,53.85,2021.04.30,80mg:5mg*7片,44000
采药易,西乐葆 塞来昔布胶囊,辉瑞制药有限公司,35.00,2021.04.30,0.2g*6粒,47250
采药易,达喜 铝碳酸镁片,拜耳医药保健有限公司,24.50,2023.10.07,0.5g*20片,199419
采药易,汉森 人工牛黄甲硝唑胶囊,湖南汉森制药股份有限公司,4.25,2021.12.31,24粒,26007
采药易,白云山 一力 咳特灵胶囊,广州白云山医药集团股份有限公司白云山制药总厂,8.48,2020.11.30,30粒,40971
采药易,白云山 一力 咳特灵胶囊,广州白云山医药集团股份有限公司白云山制药总厂,7.80,2020.11.30,30粒,40981
采药易,易坦静 氨溴特罗口服溶液,北京韩美药品有限公司,25.30,2022.01.09,60ml,84904
采药易,天心 罗红霉素胶囊,广州白云山天心制药股份有限公司,1.88,2020.02.29,0.15g*6粒,17644
采药易,亚宝 丁桂儿脐贴,亚宝药业集团股份有限公司,14.09,2020.11.30,1.6g*2贴,60735
采药易,施慧达 苯磺酸左旋氨氯地平片,施慧达药业集团(吉林)有限公司,31.20,2021.12.31,2.5mg*14片,60603
采药易,京丰制药 盐酸二甲双胍片,北京京丰制药集团有限公司,2.50,2022.07.30,48片,109983
采药易,白云山 苯磺酸氨氯地平片,广州白云山医药集团股份有限公司白云山制药总厂,12.80,2020.08.31,5mg*7片*2板,16944
采药易,龙虎 清凉油,上海中华药业有限公司,3.25,2021.02.28,3g,31160
采药易,泰嘉 硫酸氢氯吡格雷片,深圳信立泰药业股份有限公司,72.00,2021.09.30,25mg*20片,120463
采药易,可威 磷酸奥司他韦颗粒,宜昌东阳光长江药业股份有限公司,59.90,2021.01.30,15mg*10袋,0
采药易,加合百服宁 酚咖片,中美上海施贵宝制药有限公司,7.70,2020.10.31,10片,33882
采药易,桂林三金 三金片,桂林三金药业股份有限公司,22.80,2020.10.22,0.29g*54片,74010
采药易,思密达 蒙脱石散,博福-益普生(天津)制药有限公司,19.99,2022.09.30,3g*10袋(草莓味),59628
采药易,顺尔宁 孟鲁司特钠咀嚼片,Merck Sharp & Dohme B.V.,33.80,2020.03.12,4mg*5片,59251
采药易,湖北成城 三黄片,华阳(恩施)药业有限公司,3.70,2022.01.31,100片,4982
采药易,三金 西瓜霜清咽含片,桂林三金药业股份有限公司,5.88,2020.12.17,1.8g*16片,36699
采药易,达力新 头孢呋辛酯胶囊,国药集团致君(深圳)制药有限公司,6.70,2021.12.31,0.125g*12粒,31035
采药易,美多芭 多巴丝肼片,上海罗氏制药有限公司,83.80,2022.06.14,0.25g*4片*10板,32486
采药易,特安呐 血塞通片,云南特安呐制药股份有限公司,5.80,2021.04.30,25mg*20片,54651
采药易,可乐必妥 左氧氟沙星滴眼液,参天制药(中国)有限公司,31.50,2021.06.30,5ml:24.4mg,30842
采药易,同济堂 仙灵骨葆胶囊,国药集团同济堂(贵州)制药有限公司,28.80,2021.06.12,0.5g*50粒,19781
采药易,嘉林阿乐 阿托伐他汀钙片,北京嘉林药业股份有限公司,19.50,2021.07.31,10mg*7片,221632
采药易,三金 桂林西瓜霜,桂林三金药业股份有限公司,13.50,2021.08.24,3.5g,175856
采药易,中新 速效救心丸,天津中新药业集团股份有限公司第六中药厂,31.32,2020.01.31,60丸*2瓶,80449
采药易,中新 速效救心丸,天津中新药业集团股份有限公司第六中药厂,27.68,2020.01.31,60丸*2瓶,80476
采药易,诺和龙 瑞格列奈片,丹麦诺和诺德公司,59.50,2022.09.30,1mg*30片,26166
采药易,麥科特 清热散结片,广东省惠州市中药厂有限公司,4.20,2020.11.30,48片,35207
采药易,毓婷 左炔诺孕酮片,华润紫竹药业有限公司,10.80,2023.12.08,2片,28578
采药易,芬必得 布洛芬缓释胶囊,中美天津史克制药有限公司,18.50,2021.03.22,0.3g*20粒,161518
采药易,嘉应 重感灵片,广东嘉应制药股份有限公司,4.09,2021.10.31,0.25g*48片,20259
采药易,亚宝宜欣 硝苯地平缓释片(Ⅰ),亚宝药业集团股份有限公司,6.50,2020.09.30,10mg*30片,35046
采药易,山西亨瑞达 酚酞片,山西亨瑞达制药有限公司,5.90,2021.06.15,50mg*100片,25622
采药易,润都奥芬 布洛芬缓释胶囊,珠海润都制药股份有限公司,3.80,2020.11.30,0.3g*14粒,18542
采药易,力斯得 L-门冬氨酸氨氯地平片,浙江尖峰药业有限公司,16.80,2020.09.30,5mg*14粒,19309
采药易,迭力 加巴喷丁胶囊,江苏恩华药业股份有限公司,24.50,2020.12.31,0.1g*48粒,18079
采药易,格华止 盐酸二甲双胍片,中美上海施贵宝制药有限公司,34.99,2021.12.31,10片*2板,40446
采药易,嘉林阿乐 阿托伐他汀钙片,北京嘉林药业股份有限公司,28.50,2021.04.30,20mg*7片,96438
采药易,力乐尔 盐酸二甲双胍缓释片,山东明仁福瑞达制药股份有限公司,6.30,2020.12.11,30片,50953
采药易,利凡优 愈美胶囊,江苏亚邦爱普森药业有限公司,7.50,2020.12.31,100mg:15mg*10粒*2板,15735
采药易,白云山 禾穗速校 氨咖黄敏胶囊,广州白云山光华制药股份有限公司,6.05,2020.05.31,12粒,109657
采药易,思金 依巴斯汀片,杭州澳医保灵药业有限公司,13.50,2020.11.21,10mg*10片,38828
采药易,思金 依巴斯汀片,杭州澳医保灵药业有限公司,11.98,2020.11.21,10mg*10片,38881
采药易,朗依 硝呋太尔制霉素阴道软胶囊,北京金城泰尔制药有限公司,24.00,2020.02.29,6粒,92508
采药易,毓婷 左炔诺孕酮片,华润紫竹药业有限公司,15.50,2023.10.29,1.5mg*1片,0
采药易,达芙通 地屈孕酮片,Abbott Biologicals B.V.,117.50,2023.08.31,10mg*20片,19244
采药易,舒泰得 雷贝拉唑钠肠溶片,山东新华制药股份有限公司,13.80,2021.01.06,10mg*8片,14148
采药易,邦廸 苯扎氯铵贴,上海强生制药有限公司,1.98,2021.06.30,25mm*18mm*8贴,57720
采药易,瑞扬 非布司他片,江苏恒瑞医药股份有限公司,89.90,2020.11.12,40mg*10片,14978
采药易,三精 阿奇霉素分散片,黑龙江诺捷制药有限责任公司,3.70,2021.02.28,0.25g*6片,13206
采药易,北京双吉 盐酸金霉素眼膏,北京双吉制药有限公司,4.80,2021.11.30,"0.5%,2.5g",20680
采药易,昆明中药 昆中 清肺化痰丸,昆明中药厂有限公司,9.40,2023.09.30,6g*6袋,19481
采药易,帅信 硫酸氢氯吡格雷片,乐普药业股份有限公司,47.50,2021.04.30,75mg*7s,19494
采药易,红源达 多糖铁复合物胶囊,上海医药集团青岛国风药业股份有限公司,29.50,2021.10.31,0.15g*10粒,49541
采药易,一力 复方丹参片,广东一力集团制药股份有限公司,6.56,2020.01.31,0.32g*100片,36398
采药易,江西汪氏 小柴胡颗粒,江西汪氏药业有限公司,5.00,2021.01.31,10g*10袋,22491
采药易,洛汀新 盐酸贝那普利片,北京诺华制药有限公司,40.50,2021.10.31,10mg*14片,36577
采药易,白云山 红霉素眼膏,广州白云山制药股份有限公司白云山何济公制药厂,5.80,2023.10.31,2.5g,48544
采药易,江中 健胃消食片,江中药业股份有限公司,7.50,2020.07.31,0.8g*8片*4板,118210
采药易,三精 胃必治 复方铝酸铋片,哈药集团三精制药四厂有限公司,11.95,2021.08.22,50片,16245
采药易,拜唐苹 阿卡波糖片,拜耳医药保健有限公司,68.00,2020.11.20,50mg*30片,59993
采药易,惠州中药 复方感冒灵片,广东省惠州市中药厂有限公司,3.80,2021.01.31,100s,13880
采药易,一力 腹可安片,广东一力集团制药股份有限公司,1.40,2020.06.30,24片,29498
采药易,西力欣 头孢呋辛酯片,葛兰素史克(中国)投资有限公司,41.00,2021.11.01,0.25g*12片,18376
采药易,浙江中法 洁康雅 复方苦参洗剂,浙江中法制药有限公司,8.49,2020.11.30,150ml,9693
采药易,中一 消渴丸,广州白云山中一药业有限公司,17.20,2020.08.31,30g*120丸,44700
采药易,郑州益圣 百合固金片,广东万方制药有限公司,7.10,2021.01.31,0.45g*30片,18623
采药易,欧意 林美欣 格列美脲分散片,石药集团欧意药业有限公司,8.99,2020.12.23,2.0mg*12片,19752
采药易,众生丸,广东众生药业股份有限公司,16.30,2021.02.20,100丸(糖衣浓缩丸),95243
采药易,众生丸,广东众生药业股份有限公司,14.98,2021.02.20,100丸(糖衣浓缩丸),95183
采药易,马应龙 麝香痔疮膏,马应龙药业集团股份有限公司,16.50,2021.11.30,20g,33465
采药易,马应龙 麝香痔疮膏,马应龙药业集团股份有限公司,14.50,2021.11.30,20g,33754
采药易,爱全乐 吸入用异丙托溴铵溶液,Boehringer Ingelheim Pharma GmbH & Co.KG,40.50,2020.08.31,2ml:250ug*10支,21729
采药易,明兴 清开灵颗粒,广州白云山明兴制药有限公司,12.10,2021.03.31,10g*10袋,36900
采药易,伊利欣 氯雷他定颗粒,江苏苏中药业集团股份有限公司,5.60,2021.09.30,5mg*12袋,29491
采药易,辽宁好护士 乳癖消片,辽宁上药好护士药业(集团)有限公司,14.98,2021.08.31,0.32g*100片,17941
采药易,苏州弘森 盐酸雷尼替丁胶囊,苏州弘森药业股份有限公司,6.30,2021.10.31,0.15g*30粒,63380
采药易,广东康奇力 板蓝根颗粒,广东康奇力药业股份有限公司,8.79,2020.11.30,10g*20袋,10847
